"Utilities Market Drivers: Technology","Datamonitor","London, United Kingdom","Energy & Utilities","All",2794,"http://www.reportbuyer.com/energy_utilities/energy_trading_marketing/utilities_market_drivers_technology.html","Published on 02-Aug-2006",21
"Future of I&C Sales & Marketing: Segmentation","Datamonitor","London, United Kingdom","Energy & Utilities","All",2794,"http://www.reportbuyer.com/energy_utilities/energy_trading_marketing/future_i_c_sales_marketing_segmentation.html","Published on 03-Aug-2006",16
"European Utilities: July 1st 2007 will lead to tough EU sanctions","Datamonitor","London, United Kingdom","Energy & Utilities","All",1698,"http://www.reportbuyer.com/energy_utilities/energy_trading_marketing/european_utilities_july_1st_2007_will_lead_tough_eu_sanctions.html","Published on 10-Aug-2006",8
"Global Utilities: The failure of climate change initiatives will drive new nuclear power build","Datamonitor","London, United Kingdom","Energy & Utilities","All",1698,"http://www.reportbuyer.com/energy_utilities/nuclear_power/global_utilities_failure_climate_change_initiatives_will_drive_new_nuclear_power_build.html","Published on 10-Aug-2006",9
"Oil &amp; Gas: Global Industry Guide","Datamonitor","London, United Kingdom","Energy & Utilities","All",1494,"http://www.reportbuyer.com/energy_utilities/oil_gas/oil_gas_global_industry_guide_1.html","Published on 07-Jul-2010",292
"European Utilities: The EU emissions trading scheme will fail to deliver","Datamonitor","London, United Kingdom","Energy & Utilities","All",1698,"http://www.reportbuyer.com/energy_utilities/energy_trading_marketing/european_utilities_eu_emissions_trading_scheme_will_fail_deliver.html","Published on 14-Aug-2006",21
"Global Utilities: China will be joined by a second wave of rapidly growing energy markets","Datamonitor","London, United Kingdom","Energy & Utilities","China",1698,"http://www.reportbuyer.com/energy_utilities/energy_trading_marketing/global_utilities_china_will_joined_second_wave_rapidly_growing_energy_markets.html","Published on 16-Aug-2006",11
"Winter Outlook for the UK Energy Market","Datamonitor","London, United Kingdom","Energy & Utilities","United Kingdom",2794,"http://www.reportbuyer.com/energy_utilities/country_overviews_energy_utilities/winter_outlook_uk_energy_market.html","Published on 17-Aug-2006",22
"European Utilities Productscan: renewable energy tariffs in Germany","Datamonitor","London, United Kingdom","Energy & Utilities","Germany",2794,"http://www.reportbuyer.com/energy_utilities/energy_trading_marketing/european_utilities_productscan_renewable_energy_tariffs_germany.html","Published on 29-Aug-2006",13
"European Gas and Power Demand Forecasts to 2020 (Databook)","Datamonitor","London, United Kingdom","Energy & Utilities","All",5697,"http://www.reportbuyer.com/energy_utilities/energy_trading_marketing/european_gas_power_demand_forecasts_2020_databook.html","Published on 31-Aug-2006",18
"Utilities Market Drivers: Corporate Agenda","Datamonitor","London, United Kingdom","Energy & Utilities","All",2794,"http://www.reportbuyer.com/energy_utilities/energy_trading_marketing/utilities_market_drivers_corporate_agenda.html","Published on 01-Sep-2006",13
"Utilities market Drivers: Policy & Regulation","Datamonitor","London, United Kingdom","Energy & Utilities","All",2794,"http://www.reportbuyer.com/energy_utilities/energy_trading_marketing/utilities_market_drivers_policy_regulation.html","Published on 01-Sep-2006",21
"Global Utilities: Producers Will Tighten Their Control Over The Energy Market","Datamonitor","London, United Kingdom","Energy & Utilities","All",1698,"http://www.reportbuyer.com/energy_utilities/energy_trading_marketing/global_utilities_producers_will_tighten_control_energy_market.html","Published on 05-Sep-2006",10
"Spirits in Norway","Datamonitor","London, United Kingdom","Food & Drink","Norway",250,"http://www.reportbuyer.com/food_drink/alcoholic_drinks/spirits/spirits_norway_1.html","Published on 08-Aug-2011",46
"Milk in Canada","Datamonitor","London, United Kingdom","Food & Drink","Canada",250,"http://www.reportbuyer.com/food_drink/dairy/milk/milk_canada.html","Published on 08-Aug-2011",41
"The Future of Outsourcing","Datamonitor","London, United Kingdom","Banking & Finance","All",4492,"http://www.reportbuyer.com/banking_finance/financial_outsourcing/future_outsourcing.html","Published on 10-May-2006",43
"The Future of Branding","Datamonitor","London, United Kingdom","Business &amp; Government","All",4492,"http://www.reportbuyer.com/business_government/advertising_marketing/future_branding.html","Published on 10-May-2006",48
"Future of Online","Datamonitor","London, United Kingdom","Computing & Electronics","All",4492,"http://www.reportbuyer.com/computing_electronics/internet/future_online.html","Published on 22-May-2006",49
"Energy & Utilities Outlook - Five factors that will shape the future of Global Utilities","Datamonitor","London, United Kingdom","Energy & Utilities","All",1698,"http://www.reportbuyer.com/energy_utilities/energy_trading_marketing/energy_utilities_outlook_five_factors_will_shape_future_global_utilities.html","Published on 26-Jul-2006",20
"Energy & Utilities Outlook - Five factors that will shape the future of European Utilities","Datamonitor","London, United Kingdom","Energy & Utilities","All",1698,"http://www.reportbuyer.com/energy_utilities/energy_trading_marketing/energy_utilities_outlook_five_factors_will_shape_future_european_utilities.html","Published on 26-Jul-2006",10
"Five Factors that will shape the future of UK General Insurance","Datamonitor","London, United Kingdom","Banking & Finance","United Kingdom",1698,"http://www.reportbuyer.com/banking_finance/insurance/five_factors_will_shape_future_uk_general_insurance.html","Published on 16-Aug-2006",12
"Five Factors that will shape the future of the UK Pensions Market","Datamonitor","London, United Kingdom","Banking & Finance","United Kingdom",1698,"http://www.reportbuyer.com/banking_finance/pensions/five_factors_will_shape_future_uk_pensions_market.html","Published on 16-Aug-2006",9
"Five Factors that will shape the future of UK Retail Lending","Datamonitor","London, United Kingdom","Banking & Finance","United Kingdom",1698,"http://www.reportbuyer.com/banking_finance/lending/personal_lending/five_factors_will_shape_future_uk_retail_lending.html","Published on 16-Aug-2006",10
"Five Factors that will shape the future of European Logistics","Datamonitor","London, United Kingdom","Transport & Travel","All",1698,"http://www.reportbuyer.com/transport_travel/logistics_shipping/five_factors_will_shape_future_european_logistics.html","Published on 17-Aug-2006",13
"The Future of Eating Meals On-The-Go","Datamonitor","London, United Kingdom","Food & Drink","All",5697,"http://www.reportbuyer.com/food_drink/foodservice/future_eating_meals_on_the_go.html","Published on 26-Sep-2005",81
"Insights into Tomorrow's Cosmeceutical Consumers","Datamonitor","London, United Kingdom","Consumer Goods & Retail","All",5697,"http://www.reportbuyer.com/consumer_goods_retail/cosmetics_grooming/insights_tomorrows_cosmeceutical_consumers.html","Published on 06-Sep-2005",80
"Fruit &amp; Vegetables: Global Industry Guide","Datamonitor","London, United Kingdom","Food & Drink","All",1494,"http://www.reportbuyer.com/food_drink/fruit_vegetable/fruit_vegetables_global_industry_guide.html","Published on 01-Sep-2010",255
"Food Retail: Global Industry Almanac","Datamonitor","London, United Kingdom","Consumer Goods & Retail","All",2997,"http://www.reportbuyer.com/consumer_goods_retail/food_retailing/food_retail_global_industry_almanac.html","Published on 01-Sep-2010",819
"Food Retail - Scandinavia Industry Guide","Datamonitor","London, United Kingdom","Consumer Goods & Retail","All",798,"http://www.reportbuyer.com/consumer_goods_retail/food_retailing/food_retail_scandinavia_industry_guide.html","Published on 01-Sep-2010",86
"Toys &amp; Games: Global Industry Guide","Datamonitor","London, United Kingdom","Consumer Goods & Retail","All",994,"http://www.reportbuyer.com/consumer_goods_retail/toys_games/toys_games_global_industry_guide.html","Published on 08-Aug-2010",127
"Fast Food: Global Industry Guide","Datamonitor","London, United Kingdom","Leisure & Media","All",994,"http://www.reportbuyer.com/leisure_media/dining/fast_food/fast_food_global_industry_guide.html","Published on 12-Dec-2010",159
"Financial Advisors' Views of Pension Reforms","Datamonitor","London, United Kingdom","Banking & Finance","All",5251,"http://www.reportbuyer.com/banking_finance/pensions/financial_advisors_views_pension_reforms.html","Published on 11-Nov-2010",38
"Foodservice - BRIC (Brazil, Russia, India, China) Industry Guide","Datamonitor","London, United Kingdom","Food & Drink","Brazil",994,"http://www.reportbuyer.com/food_drink/foodservice/foodservice_bric_brazil_russia_india_china_industry_guide_1.html","Published on 12-Dec-2010",125
"New Insights into Viral and Word of Mouth Marketing in Consumer Packaged Goods","Datamonitor","London, United Kingdom","Consumer Goods & Retail","All",5697,"http://www.reportbuyer.com/consumer_goods_retail/shopping/shopping_trends/new_insights_viral_word_mouth_marketing_consumer_packaged_goods.html","Published on 29-Aug-2005",82
"Insights Into Tomorrow's Ethnic Food &amp; Drink Consumers","Datamonitor","London, United Kingdom","Food & Drink","All",5697,"http://www.reportbuyer.com/food_drink/diet_health_foods/insights_tomorrows_ethnic_food_drink_consumers.html","Published on 25-Aug-2005",84
"Insights into Tomorrow's Over 25s Alcoholic Drinks Consumers","Datamonitor","London, United Kingdom","Food & Drink","All",5697,"http://www.reportbuyer.com/food_drink/alcoholic_drinks/insights_tomorrows_25s_alcoholic_drinks_consumers.html","Published on 22-Aug-2005",88
"Personal & Oral Care On-The-Go","Datamonitor","London, United Kingdom","Consumer Goods & Retail","All",5697,"http://www.reportbuyer.com/consumer_goods_retail/cosmetics_grooming/personal_oral_care_on_the_go.html","Published on 03-Aug-2005",80
"Birds Eye Case Study","Datamonitor","London, United Kingdom","Business &amp; Government","All",297,"http://www.reportbuyer.com/business_government/company_reports_business_services/birds_eye_case_study.html","Published on 07-Sep-2007",10
"Evolution of Global Consumer Trends","Datamonitor","London, United Kingdom","Consumer Goods & Retail","All",5697,"http://www.reportbuyer.com/consumer_goods_retail/shopping/shopping_trends/evolution_global_consumer_trends.html","Published on 04-Jul-2005",160
"The Future Of Mealtimes","Datamonitor","London, United Kingdom","Food & Drink","All",5697,"http://www.reportbuyer.com/food_drink/foodservice/future_mealtimes.html","Published on 14-Jun-2005",69
"Developing Products With A Price Premium","Datamonitor","London, United Kingdom","Consumer Goods & Retail","All",5697,"http://www.reportbuyer.com/consumer_goods_retail/company_reports_consumer_goods_retail_/developing_products_price_premium.html","Published on 26-May-2005",75
"Empty Nesters 2005","Datamonitor","London, United Kingdom","Consumer Goods & Retail","All",5697,"http://www.reportbuyer.com/consumer_goods_retail/demographics/empty_nesters_2005.html","Published on 25-May-2005",74
"MarketWatch: Health Roundup","Datamonitor","London, United Kingdom","Pharma &amp; Healthcare","All",399,"http://www.reportbuyer.com/pharma_healthcare/healthcare/marketwatch_health_roundup.html","Published on 11-Nov-2008",54
"Young Adults' Lifestyles & Social Trends","Datamonitor","London, United Kingdom","Consumer Goods & Retail","All",5697,"http://www.reportbuyer.com/consumer_goods_retail/demographics/young_adults_lifestyles_social_trends.html","Published on 05-May-2005",92
"New Trends In Young Adults' Alcoholic Drinks Occasions","Datamonitor","London, United Kingdom","Food & Drink","All",5697,"http://www.reportbuyer.com/food_drink/alcoholic_drinks/new_trends_young_adults_alcoholic_drinks_occasions.html","Published on 02-May-2005",70
"Heinz UK Case Study","Datamonitor","London, United Kingdom","Food & Drink","United Kingdom",297,"http://www.reportbuyer.com/food_drink/canned/heinz_uk_case_study.html","Published on 09-Sep-2008",14
"Soft Drinks Market in Mexico to 2014","Datamonitor","London, United Kingdom","Food & Drink","Mexico",493,"http://www.reportbuyer.com/food_drink/soft_drinks/soft_drinks_mexico_2012.html","Published on 28-Oct-2010",193
"The Future Of Snacking & Beverage Occasions","Datamonitor","London, United Kingdom","Food & Drink","All",5697,"http://www.reportbuyer.com/food_drink/snacks/future_snacking_beverage_occasions.html","Published on 07-Apr-2005",80
"Dunkin Donuts case study: refocusing the quick serve strategy onto coffee","Datamonitor","London, United Kingdom","Food & Drink","All",297,"http://www.reportbuyer.com/food_drink/soft_drinks/coffee/dunkin_donuts_case_study_refocusing_quick_serve_strategy_onto_coffee.html","Published on 10-Oct-2008",12
"Insights into Tomorrow's Prepared Meal Consumers","Datamonitor","London, United Kingdom","Food & Drink","All",5697,"http://www.reportbuyer.com/food_drink/ready_meals/insights_tomorrows_prepared_meal_consumers.html","Published on 28-Mar-2005",85
"The Future Of Personal Care Occasions","Datamonitor","London, United Kingdom","Consumer Goods & Retail","All",5697,"http://www.reportbuyer.com/consumer_goods_retail/cosmetics_grooming/future_personal_care_occasions.html","Published on 25-Mar-2005",86
"Confectionery in the US to 2012","Datamonitor","London, United Kingdom","Food & Drink","United States",1291,"http://www.reportbuyer.com/food_drink/confectionery/confectionery_us_2012.html","Published on 10-Oct-2008",148
"Specialist Electricals and Electronics Retailers in Romania","Datamonitor","London, United Kingdom","Consumer Goods & Retail","Romania",493,"http://www.reportbuyer.com/consumer_goods_retail/consumer_electronics/specialist_electricals_electronics_retailers_romania.html","Published on 03-Nov-2010",25
"Specialist Electricals and Electronics Retailers in Russia","Datamonitor","London, United Kingdom","Consumer Goods & Retail","All",493,"http://www.reportbuyer.com/consumer_goods_retail/consumer_electronics/specialist_electricals_electronics_retailers_russia.html","Published on 03-Nov-2010",25
"Specialist Electricals and Electronics Retailers in Saudi Arabia","Datamonitor","London, United Kingdom","Consumer Goods & Retail","Saudi Arabia",493,"http://www.reportbuyer.com/consumer_goods_retail/consumer_electronics/specialist_electricals_electronics_retailers_saudi_arabia.html","Published on 03-Nov-2010",25
"Specialist Electricals and Electronics Retailers in Singapore","Datamonitor","London, United Kingdom","Consumer Goods & Retail","Singapore",493,"http://www.reportbuyer.com/consumer_goods_retail/consumer_electronics/specialist_electricals_electronics_retailers_singapore.html","Published on 03-Nov-2010",25
"Global Innovations in Beer, Cider and FAB's","Datamonitor","London, United Kingdom","Food & Drink","All",5697,"http://www.reportbuyer.com/food_drink/alcoholic_drinks/beer/global_innovations_beer_cider_fabs.html","Published on 23-Feb-2005",102
"Natural & Ethical Consumers 2004","Datamonitor","London, United Kingdom","Consumer Goods & Retail","All",5697,"http://www.reportbuyer.com/consumer_goods_retail/shopping/shopping_trends/natural_ethical_consumers_2004.html","Published on 21-Feb-2005",58
"Specialist Electricals and Electronics Retailers in Switzerland","Datamonitor","London, United Kingdom","Consumer Goods & Retail","Switzerland",493,"http://www.reportbuyer.com/consumer_goods_retail/consumer_electronics/specialist_electricals_electronics_retailers_switzerland.html","Published on 04-Nov-2010",25
"Specialist Electricals and Electronics Retailers in South Africa","Datamonitor","London, United Kingdom","Consumer Goods & Retail","South Africa",493,"http://www.reportbuyer.com/consumer_goods_retail/consumer_electronics/specialist_electricals_electronics_retailers_south_africa.html","Published on 03-Nov-2010",25
"Specialist Electricals and Electronics Retailers in Slovakia","Datamonitor","London, United Kingdom","Consumer Goods & Retail","Slovakia",493,"http://www.reportbuyer.com/consumer_goods_retail/consumer_electronics/specialist_electricals_electronics_retailers_slovakia.html","Published on 03-Nov-2010",25
"Specialist Electricals and Electronics Retailers in Republic of Korea","Datamonitor","London, United Kingdom","Consumer Goods & Retail","All",493,"http://www.reportbuyer.com/consumer_goods_retail/consumer_electronics/specialist_electricals_electronics_retailers_republic_korea.html","Published on 03-Nov-2010",25
"Confectionery in Germany to 2012","Datamonitor","London, United Kingdom","Food & Drink","Germany",1291,"http://www.reportbuyer.com/food_drink/confectionery/confectionery_germany_2012.html","Published on 10-Oct-2008",150
"Confectionery in Japan to 2012","Datamonitor","London, United Kingdom","Food & Drink","Japan",1291,"http://www.reportbuyer.com/food_drink/confectionery/confectionery_japan_2012.html","Published on 10-Oct-2008",153
"Confectionery in the Netherlands to 2012","Datamonitor","London, United Kingdom","Food & Drink","Netherlands",1291,"http://www.reportbuyer.com/food_drink/confectionery/confectionery_netherlands_2012.html","Published on 10-Oct-2008",152
"Health On-The-Go 2005","Datamonitor","London, United Kingdom","Food & Drink","All",5697,"http://www.reportbuyer.com/food_drink/diet_health_foods/health_on_the_go_2005.html","Published on 15-Feb-2005",89
"Trends and Behaviors in Eating Out","Datamonitor","London, United Kingdom","Food & Drink","All",4492,"http://www.reportbuyer.com/food_drink/diet_health_foods/trends_behaviors_eating.html","Published on 07-Jun-2011",118
"Childrenswear - North America (NAFTA) Industry Guide","Datamonitor","London, United Kingdom","Consumer Goods & Retail","All",798,"http://www.reportbuyer.com/consumer_goods_retail/clothing/childrens/childrenswear_north_america_nafta_industry_guide.html","Published on 02-Feb-2011",87
"Soft Drinks in Hungary","Datamonitor","London, United Kingdom","Food & Drink","Hungary",250,"http://www.reportbuyer.com/food_drink/soft_drinks/soft_drinks_hungary.html","Published on 01-Dec-2010",41
"Soft Drinks Market in Brazil to 2014","Datamonitor","London, United Kingdom","Food & Drink","Brazil",493,"http://www.reportbuyer.com/food_drink/soft_drinks/soft_drinks_brazil_2013.html","Published on 28-Oct-2010",190
"Soft drinks in Japan to 2012","Datamonitor","London, United Kingdom","Food & Drink","Japan",1291,"http://www.reportbuyer.com/food_drink/soft_drinks/soft_drinks_japan_2012.html","Published on 03-Mar-2009",240
"Soft drinks in the Netherlands to 2012","Datamonitor","London, United Kingdom","Food & Drink","Netherlands",1291,"http://www.reportbuyer.com/food_drink/soft_drinks/soft_drinks_netherlands_2012.html","Published on 03-Mar-2009",206
"Soft drinks in Spain to 2012","Datamonitor","London, United Kingdom","Food & Drink","Spain",1291,"http://www.reportbuyer.com/food_drink/soft_drinks/soft_drinks_spain_2012.html","Published on 03-Mar-2009",220
"Soft Drinks in Sweden","Datamonitor","London, United Kingdom","Food & Drink","Sweden",250,"http://www.reportbuyer.com/food_drink/soft_drinks/soft_drinks_sweden.html","Published on 01-Dec-2010",41
"Soft Drinks Market in France to 2014","Datamonitor","London, United Kingdom","Food & Drink","France",493,"http://www.reportbuyer.com/food_drink/soft_drinks/soft_drinks_france_2012.html","Published on 24-Dec-2010",209
"Soft drinks in Australia to 2012","Datamonitor","London, United Kingdom","Food & Drink","Australia",1291,"http://www.reportbuyer.com/food_drink/soft_drinks/soft_drinks_australia_2012.html","Published on 04-Apr-2009",221
"Soft drinks in the UK to 2012","Datamonitor","London, United Kingdom","Food & Drink","United Kingdom",1291,"http://www.reportbuyer.com/food_drink/soft_drinks/soft_drinks_uk_2012.html","Published on 03-Mar-2009",228
"Global Innovations in Haircare","Datamonitor","London, United Kingdom","Consumer Goods & Retail","All",5697,"http://www.reportbuyer.com/consumer_goods_retail/cosmetics_grooming/haircare/global_innovations_haircare.html","Published on 20-Jan-2005",89
"Tween & Teen Trends","Datamonitor","London, United Kingdom","Consumer Goods & Retail","All",5697,"http://www.reportbuyer.com/consumer_goods_retail/shopping/shopping_trends/tween_teen_trends.html","Published on 19-Jan-2005",64
"Make-Up in Belgium","Datamonitor","London, United Kingdom","Consumer Goods & Retail","Belgium",250,"http://www.reportbuyer.com/consumer_goods_retail/cosmetics_grooming/make_up_belgium.html","Published on 01-Jan-2010",37
"Telecom  Logistics Spending in Malaysia to 2014","Datamonitor","London, United Kingdom","Transport & Travel","Malaysia",493,"http://www.reportbuyer.com/transport_travel/logistics_shipping/telecom_logistics_spending_malaysia_2014.html","Published on 06-Jun-2011",35
"Make-Up in the Czech Republic","Datamonitor","London, United Kingdom","Consumer Goods & Retail","Czech Republic",250,"http://www.reportbuyer.com/consumer_goods_retail/cosmetics_grooming/make_up_czech_republic.html","Published on 01-Jan-2010",35
"Make-up in Finland to 2012","Datamonitor","London, United Kingdom","Consumer Goods & Retail","Finland",1291,"http://www.reportbuyer.com/consumer_goods_retail/cosmetics_grooming/make_up_finland_2012.html","Published on 02-Feb-2009",138
"Soft drinks in Canada to 2012","Datamonitor","London, United Kingdom","Food & Drink","Canada",1291,"http://www.reportbuyer.com/food_drink/soft_drinks/soft_drinks_canada_2012.html","Published on 02-Feb-2009",217
