"Prospects for a New Nuclear Renaissance in Europe","Datamonitor","London, United Kingdom","Energy & Utilities","All",5697,"http://www.reportbuyer.com/energy_utilities/nuclear_power/prospects_new_nuclear_renaissance_europe.html","Published on 07-Jul-2009",18
"Global Consumer Trends&#58; Health","Datamonitor","London, United Kingdom","Pharma &amp; Healthcare","All",3991,"http://www.reportbuyer.com/pharma_healthcare/general_industry/global_consumer_trends_health.html","Published on 06-Jun-2009",481
"Global Consumer Trends&#58; Individualism","Datamonitor","London, United Kingdom","Pharma &amp; Healthcare","All",3991,"http://www.reportbuyer.com/pharma_healthcare/general_industry/global_consumer_trends_individualism.html","Published on 06-Jun-2009",109
"Datamonitor Energy Companies Report","Datamonitor","London, United Kingdom","Energy & Utilities","All",1894,"http://www.reportbuyer.com/energy_utilities/company_reports_energy_utilities/datamonitor_energy_companies_report.html","Published on 06-Jun-2009",152
"2008 Commercial Fuel Cards Database&#58; Netherlands","Datamonitor","London, United Kingdom","Automotive","Netherlands",3803,"http://www.reportbuyer.com/automotive/vehicle_rental_leasing_fleet_management/2008_commercial_fuel_cards_database_netherlands.html","Published on 07-Jul-2009",0
"2008 Commercial Fuel Cards Database&#58; Spain","Datamonitor","London, United Kingdom","Automotive","Spain",3803,"http://www.reportbuyer.com/automotive/vehicle_rental_leasing_fleet_management/2008_commercial_fuel_cards_database_spain.html","Published on 06-Jun-2009",0
"European Residential Retail Gas Margins","Datamonitor","London, United Kingdom","Energy & Utilities","All",5001,"http://www.reportbuyer.com/energy_utilities/oil_gas/european_residential_retail_gas_margins.html","Published on 06-Jun-2009",0
"Soft Drinks in Japan","Datamonitor","London, United Kingdom","Food & Drink","Japan",250,"http://www.reportbuyer.com/food_drink/soft_drinks/soft_drinks_japan.html","Published on 01-Dec-2010",42
"Soft Drinks in Europe","Datamonitor","London, United Kingdom","Food & Drink","All",250,"http://www.reportbuyer.com/food_drink/soft_drinks/soft_drinks_europe.html","Published on 01-Dec-2010",44
"Soft Drinks in China","Datamonitor","London, United Kingdom","Food & Drink","China",250,"http://www.reportbuyer.com/food_drink/soft_drinks/soft_drinks_china.html","Published on 01-Dec-2010",43
"Soft Drinks in Australia","Datamonitor","London, United Kingdom","Food & Drink","Australia",250,"http://www.reportbuyer.com/food_drink/soft_drinks/soft_drinks_australia.html","Published on 01-Dec-2010",45
"Convenience Stores and Gas Stations Retail in Morocco","Datamonitor","London, United Kingdom","Energy & Utilities","Morocco",493,"http://www.reportbuyer.com/energy_utilities/oil_gas/convenience_stores_gas_stations_retail_morocco.html","Published on 05-May-2011",25
"Ice Cream in the US to 2013","Datamonitor","London, United Kingdom","Food & Drink","United States",493,"http://www.reportbuyer.com/food_drink/chilled_frozen_food/ice_cream/ice_cream_us_2013.html","Published on 03-Mar-2010",132
