"Freedonia Focus on Medical Plastics","Freedonia Group","Cleveland,, United States","Chemicals","All",500,"http://www.reportbuyer.com/industry_manufacturing/plastics/freedonia_focus_medical_plastics.html","Published on 02-Feb-2009",21
"Freedonia Focus on Mining Chemicals","Freedonia Group","Cleveland,, United States","Chemicals","All",500,"http://www.reportbuyer.com/chemicals/specialty_chemicals/freedonia_focus_mining_chemicals.html","Published on 02-Feb-2009",21
"Freedonia Focus on Vaccines","Freedonia Group","Cleveland,, United States","Pharma &amp; Healthcare","All",500,"http://www.reportbuyer.com/pharma_healthcare/therapeutic/vaccines/freedonia_focus_vaccines.html","Published on 02-Feb-2009",18
"Freedonia Focus on Pet Health Care Products","Freedonia Group","Cleveland,, United States","Pharma &amp; Healthcare","All",500,"http://www.reportbuyer.com/pharma_healthcare/animal_veterinary/freedonia_focus_pet_health_care_products.html","Published on 04-Apr-2009",20
"Freedonia Focus on Biologicals","Freedonia Group","Cleveland,, United States","Pharma &amp; Healthcare","All",500,"http://www.reportbuyer.com/pharma_healthcare/biotechnology/freedonia_focus_biologicals.html","Published on 09-Sep-2008",20
"Freedonia Focus on Ethical Pharmaceuticals","Freedonia Group","Cleveland,, United States","Pharma &amp; Healthcare","All",500,"http://www.reportbuyer.com/pharma_healthcare/general_industry/freedonia_focus_ethical_pharmaceuticals.html","Published on 03-Mar-2009",19
"Freedonia Focus on Vitamin & Mineral Ingredients in Nutraceuticals","Freedonia Group","Cleveland,, United States","Pharma &amp; Healthcare","All",500,"http://www.reportbuyer.com/pharma_healthcare/dietary/supplements/freedonia_focus_vitamin_mineral_ingredients_nutraceuticals.html","Published on 02-Feb-2009",22
"Freedonia Focus on Transdermal & Implantable Drug Delivery Systems","Freedonia Group","Cleveland,, United States","Pharma &amp; Healthcare","All",500,"http://www.reportbuyer.com/pharma_healthcare/drug_delivery/freedonia_focus_transdermal_implantable_drug_delivery_systems.html","Published on 12-Dec-2008",21
"Freedonia Focus on Over-the-Counter Pharmaceuticals","Freedonia Group","Cleveland,, United States","Pharma &amp; Healthcare","All",500,"http://www.reportbuyer.com/pharma_healthcare/otc_drugs/freedonia_focus_over_the_counter_pharmaceuticals.html","Published on 03-Mar-2009",19
"Freedonia Focus on Nutraceuticals","Freedonia Group","Cleveland,, United States","Pharma &amp; Healthcare","All",500,"http://www.reportbuyer.com/pharma_healthcare/dietary/supplements/freedonia_focus_nutraceuticals.html","Published on 03-Mar-2009",22
