"Sepura Plc","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/s/sepura_plc.html","Published on 26-Jul-2011",40
"Turbotec Products PLC","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/t/turbotec_products_plc.html","Published on 26-Jul-2011",40
"Blavod Wines and Spirits plc","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/b/blavod_extreme_spirits_plc.html","Published on 08-Oct-2010",41
"Daniel Thwaites Plc","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/d/daniel_thwaites_plc.html","Published on 23-Sep-2010",5
"Shepherd Neame Limited","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/s/shepherd_neame_limited.html","Published on 21-Oct-2010",41
"Bodycote Plc","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/b/bodycote_plc.html","Published on 26-Sep-2010",44
"Bombardier Inc","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/b/bombardier_inc_2.html","Published on 01-Oct-2010",45
"BP PLC","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/b/bp_plc_2.html","Published on 01-Oct-2010",45
"Braemar Shipping Services Plc","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/b/braemar_shipping_services_plc.html","Published on 26-Jul-2011",43
"Brammer p.l.c.","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/b/brammer_p_l_c.html","Published on 08-Oct-2010",42
"Breakwater Resources Ltd","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/b/breakwater_resources_ltd.html","Published on 01-Oct-2010",41
"Brewin Dolphin Holdings PLC","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/b/brewin_dolphin_holdings_plc.html","Published on 28-Sep-2011",37
"Coral Products PLC","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/c/coral_products_plc.html","Published on 26-Jul-2011",37
"Brick Brewing Co. Limited","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/b/brick_brewing_co_limited.html","Published on 01-Oct-2010",4
"Bright Things PLC","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/b/bright_things_plc.html","Published on 01-Oct-2010",40
"BRIT Insurance Holdings PLC","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/b/brit_insurance_holdings_plc.html","Published on 01-Oct-2010",37
"British Airways Plc","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/b/british_airways_plc_2.html","Published on 10-Oct-2010",42
"International Greetings PLC","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/i/international_greetings_plc.html","Published on 26-Jul-2011",44
"British American Tobacco p.l.c.","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/b/british_american_tobacco_p_l_c.html","Published on 26-Sep-2010",45
"British Land Company Plc (The)","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/b/british_land_company_plc_the.html","Published on 01-Oct-2010",39
"British Polythene Industries PLC","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/b/british_polythene_industries_plc.html","Published on 12-Oct-2010",43
"British Sky Broadcasting Group plc","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/b/british_sky_broadcasting_group_plc.html","Published on 26-Jul-2011",42
"British &amp; American Investment Trust PLC","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/b/british_american_investment_trust_plc.html","Published on 27-Sep-2010",37
"Britvic PLC","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/b/britvic_plc.html","Published on 28-Sep-2011",41
"Creon Corp PLC","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/c/creon_corp_plc.html","Published on 28-Sep-2011",36
"Brookfield Asset Management Incorporated","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/b/brookfield_asset_management_incorporated.html","Published on 06-Oct-2010",39
"Brookfield Properties Corporation","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/b/brookfield_properties_corporation.html","Published on 01-Oct-2010",39
"Brooks Macdonald Group PLC","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/b/brooks_macdonald_group_plc.html","Published on 26-Sep-2010",40
"BSS Group PLC (The)","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/b/bss_group_plc_the.html","Published on 10-Oct-2010",43
"BT Group PLC","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/b/bt_group_plc_2.html","Published on 23-Jul-2011",45
