"Scapa Group plc","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/s/scapa_group_plc.html","Published on 01-Oct-2010",42
"Sceptre Investment Counsel Limited","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/s/sceptre_investment_counsel_limited.html","Published on 01-Aug-2010",37
"Schroders PLC","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/s/schroders_plc.html","Published on 01-Oct-2010",41
"SCi Entertainment Group Plc","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/s/sci_entertainment_group_plc.html","Published on 01-Aug-2010",42
"SciSys Plc","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/s/scisys_plc.html","Published on 08-Oct-2010",43
"Score Media Inc","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/s/score_media_inc.html","Published on 05-Oct-2010",40
"Scott Wilson Group PLC","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/s/scott_wilson_group_plc.html","Published on 01-Aug-2010",40
"Scottish and Southern Energy PLC","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/s/scottish_southern_energy_plc_1.html","Published on 26-Jul-2011",43
"Scottish Investment Trust PLC (The)","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/s/scottish_investment_trust_plc_the.html","Published on 08-Oct-2010",37
"Scottish&amp;Newcastle plc","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/s/scottishnewcastle_plc.html","Published on 01-Aug-2010",41
"Scotty Group PLC","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/s/scotty_group_plc.html","Published on 26-Jul-2011",43
"ScS Upholstery plc","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/s/scs_upholstery_plc.html","Published on 01-Aug-2010",41
"SDL PLC","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/s/sdl_plc.html","Published on 12-Oct-2010",41
"Seamark Asset Management Ltd","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/s/seamark_asset_management_ltd.html","Published on 01-Oct-2010",37
"Sears Canada Inc","Wright Investors' Service","Connecticut, United States","Companies","Canada",117,"http://www.reportbuyer.com/companies/company_name/s/sears_canada_inc.html","Published on 08-Oct-2010",43
"SectorGuard PLC","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/s/sectorguard_plc.html","Published on 01-Aug-2010",40
"Segro Plc","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/s/segro_plc.html","Published on 01-Oct-2010",40
"Semafo Inc","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/s/semafo_inc.html","Published on 01-Oct-2010",42
"Sembiosys Genetics Inc","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/s/sembiosys_genetics_inc.html","Published on 05-Oct-2010",40
"Senvest Capital Inc","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/s/senvest_capital_inc.html","Published on 05-Oct-2010",37
"Serco Group plc","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/s/serco_group_plc.html","Published on 28-Sep-2011",42
"Serviced Office Group PLC","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/s/serviced_office_group_plc.html","Published on 26-Sep-2010",37
"ServicePower Technologies PLC","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/s/servicepower_technologies_plc.html","Published on 12-Oct-2010",41
"Servision PLC","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/s/servision_plc.html","Published on 01-Oct-2010",40
"Servoca PLC","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/s/servoca_plc.html","Published on 01-Aug-2010",35
"Severfield-Rowen PLC","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/s/severfield_rowen_plc.html","Published on 12-Oct-2010",41
