"Soditech Ingenierie SA","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/s/soditech_ingenierie_sa.html","Published on 09-Oct-2010",41
"Itesoft SA","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/i/itesoft_sa.html","Published on 09-Oct-2010",41
"Systran","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/s/systran.html","Published on 09-Oct-2010",41
"Solucom","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/s/solucom.html","Published on 09-Oct-2010",41
"U10","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/u/u10.html","Published on 09-Oct-2010",41
"Kaufman &amp; Broad SA","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/k/kaufman_broad_sa.html","Published on 09-Oct-2010",42
"Fleury Michon","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/f/fleury_michon.html","Published on 09-Oct-2010",41
"CJS-PLV","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/c/cjs_plv.html","Published on 06-Oct-2010",41
"Entrepose Contracting","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/e/entrepose_contracting.html","Published on 09-Oct-2010",40
"Clasquin","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/c/clasquin.html","Published on 09-Oct-2010",40
"Financiere Marc de Lacharriere Societe Anonyme","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/f/financiere_marc_de_lacharriere_societe_anonyme.html","Published on 09-Oct-2010",42
"Wendel","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/w/wendel.html","Published on 09-Oct-2010",41
"Locindus SA","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/l/locindus_sa.html","Published on 09-Oct-2010",37
"Technoflex SA","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/t/technoflex_sa.html","Published on 01-Aug-2010",39
"Euro Disney S.C.A.","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/e/euro_disney_s_c_a.html","Published on 09-Oct-2010",41
"Groupe Eurotunnel S.A.","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/g/groupe_eurotunnel_s_a.html","Published on 09-Oct-2010",42
"Neyrial Haute Technologie","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/n/neyrial_haute_technologie.html","Published on 01-Aug-2010",41
"Artprice.com","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/a/artprice_com.html","Published on 06-Oct-2010",41
"SA Georex","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/s/sa_georex.html","Published on 10-Oct-2010",41
"Cybergun SA","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/c/cybergun_sa.html","Published on 09-Oct-2010",41
"Societe pour I'Informatique Industrielle","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/s/societe_pour_iinformatique_industrielle.html","Published on 09-Oct-2010",41
"Unibail-Rodamco","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/u/unibail_rodamco.html","Published on 09-Oct-2010",38
"INGENICO - Compagnie Industrielle et Financiere D'Ingenierie","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/i/ingenico_compagnie_industrielle_et_financiere_dingenierie.html","Published on 20-Jul-2011",43
"Havas SA","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/h/havas_sa.html","Published on 20-Jul-2011",41
"Somfy SA","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/s/somfy_sa.html","Published on 09-Oct-2010",41
"Weborama","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/w/weborama.html","Published on 09-Oct-2010",40
