"Investors Title Company","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/i/investors_title_company.html","Published on 07-Oct-2010",37
"Invicta Group Inc.","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/i/invicta_group_inc.html","Published on 01-Aug-2010",38
"Invisa, Inc.","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/i/invisa_inc.html","Published on 26-Sep-2010",41
"Invitrogen Corporation","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/i/invitrogen_corporation_1.html","Published on 01-Aug-2010",43
"Ion Geophysical Corporation","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/i/ion_geophysical_corporation.html","Published on 28-Sep-2011",44
"inTEST Corporation","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/i/intest_corporation.html","Published on 28-Sep-2011",42
"ION Media Networks, Inc.","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/i/ion_media_networks_inc.html","Published on 01-Aug-2010",42
"ION Networks, Inc.","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/i/ion_networks_inc.html","Published on 01-Aug-2010",43
"Iowa Telecommunications Services, Inc.","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/i/iowa_telecommunications_services_inc.html","Published on 01-Aug-2010",39
"IR Biosciences Holdings, Inc.","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/i/ir_biosciences_holdings_inc.html","Published on 26-Sep-2010",41
"IRIDEX Corporation","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/i/iridex_corporation.html","Published on 26-Sep-2010",42
"Iris International Inc.","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/i/iris_international_inc.html","Published on 26-Sep-2010",42
"Irobot Corporation","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/i/irobot_corporation.html","Published on 07-Oct-2010",40
"Iron Mountain Incorporated","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/i/iron_mountain_incorporated.html","Published on 28-Sep-2011",43
"Inuvo Incorporation","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/i/inuvo_incorporation.html","Published on 26-Sep-2010",42
"Ironstone Group, Inc.","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/i/ironstone_group_inc.html","Published on 26-Sep-2010",40
"Irvine Sensors Corporation","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/i/irvine_sensors_corporation.html","Published on 28-Sep-2011",44
"iParty Corp.","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/i/iparty_corp.html","Published on 28-Sep-2011",41
"Irwin Financial Corporation","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/i/irwin_financial_corporation.html","Published on 26-Sep-2010",43
"I C Isaacs&amp;Company, Inc.","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/i/isaacscompany_inc.html","Published on 01-Aug-2010",40
"Isco International, Inc.","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/i/isco_international_inc.html","Published on 01-Aug-2010",40
"Isilon Systems, Inc.","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/i/isilon_systems_inc.html","Published on 26-Sep-2010",40
"Ironclad Performance Wear Corporation","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/i/ironclad_performance_wear_corporation.html","Published on 26-Sep-2010",40
"Isis Pharmaceuticals Incorporated","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/i/isis_pharmaceuticals_incorporated.html","Published on 28-Sep-2011",43
"Isle Of Capri Casinos Incorporated","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/i/isle_capri_casinos_incorporated.html","Published on 20-Oct-2010",43
"Isonics Corporation","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/i/isonics_corporation.html","Published on 26-Sep-2010",43
"Isramco, Inc.","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/i/isramco_inc.html","Published on 28-Sep-2011",43
