"Yomeishu Seizo Co Ltd","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/y/yomeishu_seizo_co_ltd.html","Published on 11-Oct-2010",41
"Shobunsha Publications, Inc.","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/s/shobunsha_publications_inc.html","Published on 14-Oct-2010",41
"Tomy Company, Ltd.","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/t/tomy_company_ltd.html","Published on 14-Oct-2010",42
"Trend Micro Incorporated","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/t/trend_micro_incorporated.html","Published on 14-Oct-2010",41
"Yahoo Japan Corporation","Wright Investors' Service","Connecticut, United States","Companies","Japan",117,"http://www.reportbuyer.com/companies/company_name/y/yahoo_japan_corporation.html","Published on 14-Oct-2010",42
"JFE Shoji Holdings, Incorporated","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/j/jfe_shoji_holdings_inc.html","Published on 14-Oct-2010",42
"Kanematsu Engineering Company Limited","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/k/kanematsu_engineering_company_limited.html","Published on 18-Jul-2011",41
"Teikoku Electric Mfg. Co., Ltd.","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/t/teikoku_electric_mfg_co_ltd.html","Published on 14-Oct-2010",42
"Saizeriya Co., Ltd.","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/s/saizeriya_co_ltd.html","Published on 14-Oct-2010",41
"Goldcrest Company Limited","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/g/goldcrest_company_limited.html","Published on 14-Oct-2010",39
"Yasuda Warehouse Company, Limited","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/y/yasuda_warehouse_company_limited.html","Published on 14-Oct-2010",41
"Square Enix Holdings Company Limited","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/s/square_enix.html","Published on 14-Oct-2010",43
"Aozora Bank Ltd","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/a/aozora_bank_ltd.html","Published on 14-Oct-2010",42
"Hob Company Ltd","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/h/hob_company_ltd.html","Published on 14-Oct-2010",40
"Daikokutenbussan Company Limited","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/d/daikokutenbussan_company_limited.html","Published on 14-Oct-2010",41
"Shinyei Kaisha","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/k/kansai_kisen_kaisha.html","Published on 26-Jul-2011",42
"Kyokuto Boeki Kaisha, Ltd.","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/k/kyokuto_boeki_kaisha_ltd.html","Published on 14-Oct-2010",42
"Mabuchi Motor Co Ltd","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/m/mabuchi_motor_co_ltd.html","Published on 14-Oct-2010",42
