"Johnson Electric Holdings Limited","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/j/johnson_electric_holdings_limited.html","Published on 10-Oct-2010",44
"Xpress Group Limited","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/x/xpress_group_limited.html","Published on 23-Jul-2011",43
"Lam Soon (Hong Kong) Limited","Wright Investors' Service","Connecticut, United States","Companies","Hong Kong",117,"http://www.reportbuyer.com/companies/company_name/l/lam_soon_hong_kong_limited.html","Published on 10-Oct-2010",42
"Capital Estate Limited","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/c/capital_estate_limited.html","Published on 23-Jul-2011",39
"Seamec Limited","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/a/arshiya_international_limited.html","Published on 24-Jul-2011",41
"Shun Ho Technology Holdings Limited","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/s/shun_ho_technology_holdings_limited.html","Published on 01-Aug-2010",37
"Paliburg Holdings Limited","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/p/paliburg_holdings_limited.html","Published on 23-Jul-2011",43
"Pioneer Global Group Limited","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/p/pioneer_global_group_limited.html","Published on 23-Jul-2011",38
"Pokfulam Development Co Ltd","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/p/pokfulam_development_co_ltd.html","Published on 23-Jul-2011",38
"Regal Hotels International Holdings Limited","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/r/regal_hotels_international_holdings_limited.html","Published on 23-Jul-2011",42
"San Miguel Brewery Hong Kong Limited","Wright Investors' Service","Connecticut, United States","Companies","Hong Kong",117,"http://www.reportbuyer.com/companies/company_name/s/san_miguel_brewery_hong_kong_limited.html","Published on 23-Jul-2011",41
"Shell Electric Mfg (Holdings) Co Limited","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/s/shell_electric_mfg_holdings_co_limited.html","Published on 06-Oct-2010",41
"Hong Kong Exchanges and Clearing Limited","Wright Investors' Service","Connecticut, United States","Companies","Hong Kong",117,"http://www.reportbuyer.com/companies/company_name/h/hong_kong_exchanges_clearing_limited.html","Published on 23-Jul-2011",41
"Superb Summit International Timber Company Limited","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/s/superb_summit_international_timber_company_limited.html","Published on 24-Jul-2011",42
"NWS Holdings Limited","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/n/nws_holdings_limited.html","Published on 23-Jul-2011",44
"China.com Incorporated","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/c/china_com_incorporated.html","Published on 23-Jul-2011",43
"Skyworth Digital Holdings Ltd","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/s/skyworth_digital_holdings_ltd.html","Published on 20-Oct-2010",31
"TOM Group Limited","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/t/tom_group_limited.html","Published on 23-Jul-2011",43
"Oriental Press Group Limited","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/o/oriental_press_group_limited.html","Published on 23-Jul-2011",42
"Jinhui Holdings Co Limited","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/j/jinhui_holdings_co_limited.html","Published on 23-Jul-2011",41
"Emperor International Holdings Limited","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/e/emperor_international_holdings_limited.html","Published on 23-Jul-2011",39
"Emperor Entertainment Hotel Limited","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/e/emperor_entertainment_hotel_limited.html","Published on 23-Jul-2011",39
"Guangdong Investment Ltd.","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/g/guangdong_investment_ltd.html","Published on 23-Jul-2011",44
"Graneagle Holdings Limited","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/g/graneagle_holdings_limited.html","Published on 01-Aug-2010",43
"Hong Kong Aircraft Engineering Co Limited","Wright Investors' Service","Connecticut, United States","Companies","Hong Kong",117,"http://www.reportbuyer.com/companies/company_name/h/hong_kong_aircraft_engineering_co_limited.html","Published on 23-Jul-2011",41
