"Scribona AB","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/s/scribona_ab.html","Published on 25-Sep-2010",41
"Cybercom Group Europe AB","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/c/cybercom_group_europe_ab.html","Published on 19-Jul-2011",42
"Q-Med Ab","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/q/q_med_ab.html","Published on 25-Sep-2010",41
"Switchcore Ab","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/s/switchcore_ab.html","Published on 25-Sep-2010",43
"Multiq International AB","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/m/multiq_international_ab.html","Published on 24-Sep-2010",41
"Enlight International AB","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/e/enlight_international_ab.html","Published on 01-Aug-2010",41
"PA Resources AB","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/p/pa_resources_ab.html","Published on 25-Sep-2010",41
"Rottneros AB","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/r/rottneros_ab.html","Published on 25-Sep-2010",42
"Hedson Technologies International AB","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/h/hedson_technologies_international_ab.html","Published on 25-Sep-2010",41
"Rederi AB Transatlantic","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/r/rederi_ab_transatlantic.html","Published on 25-Sep-2010",41
"B&amp;B Tools AB","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/b/bb_tools_ab.html","Published on 10-Oct-2010",44
"Indutrade Ab","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/i/indutrade_ab.html","Published on 10-Oct-2010",41
"NCC AB","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/n/ncc_ab.html","Published on 25-Sep-2010",44
"AB Industrivarden","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/a/ab_industrivarden.html","Published on 25-Sep-2010",40
"L E Lundbergforetagen AB","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/l/lundbergforetagen_ab.html","Published on 25-Sep-2010",43
"Skandinaviska Enskilda Banken","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/s/skandinaviska_enskilda_banken.html","Published on 25-Sep-2010",46
"Securitas AB","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/s/securitas_ab.html","Published on 25-Sep-2010",44
