"Optimer Pharmaceuticals Inc","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/o/optimer_pharmaceuticals_inc_1.html","Published on 27-Sep-2010",40
"Online Vacation Center Holdings, Inc.","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/o/online_vacation_center_holdings_inc.html","Published on 27-Sep-2010",40
"One Liberty Properties, Inc.","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/o/one_liberty_properties_inc.html","Published on 27-Sep-2010",37
"One Voice Technologies, Incorporation","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/o/one_voice_technologies_incorporation.html","Published on 27-Sep-2010",42
"London Security Plc","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/l/london_security_plc.html","Published on 27-Sep-2010",41
"Investment Company PLC (The)","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/i/investment_company_plc_the.html","Published on 27-Sep-2010",36
"Medicsight Plc","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/m/medicsight_plc.html","Published on 27-Sep-2010",40
"Abbey Protection Plc","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/a/abbey_protection_plc.html","Published on 27-Sep-2010",36
"Mavinwood PLC","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/m/mavinwood_plc.html","Published on 27-Sep-2010",40
"Novae Group PLC","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/n/novae_group_plc.html","Published on 27-Sep-2010",36
"Sabien Technology Group Plc","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/s/sabien_technology_group_plc.html","Published on 27-Sep-2010",39
"Blue Star Capital PLC","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/b/blue_star_capital_plc.html","Published on 27-Sep-2010",33
"European Islamic Investment Bank PLC","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/e/european_islamic_investment_bank_plc.html","Published on 27-Sep-2010",37
"Avanti Communications Group Plc","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/a/avanti_communications_group_plc.html","Published on 27-Sep-2010",41
"Polar Capital Holdings Plc","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/p/polar_capital_holdings_plc.html","Published on 27-Sep-2010",40
"China Western Investments Plc","Wright Investors' Service","Connecticut, United States","Companies","China",117,"http://www.reportbuyer.com/companies/company_name/c/china_western_investments_plc.html","Published on 27-Sep-2010",36
"HML Holdings PLC","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/h/hml_holdings_plc.html","Published on 27-Sep-2010",40
"Prologic PLC","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/p/prologic_plc.html","Published on 27-Sep-2010",40
"Capital Pub Company (The) PLC","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/c/capital_pub_company_the_plc.html","Published on 27-Sep-2010",40
"AssetCo Plc","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/a/assetco_plc.html","Published on 27-Sep-2010",40
"Meridian Petroleum","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/m/meridian_petroleum.html","Published on 27-Sep-2010",40
"Craneware Plc","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/c/craneware_plc.html","Published on 27-Sep-2010",39
"Afren PLC","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/a/afren_plc.html","Published on 27-Sep-2010",39
"Standard Life PLC","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/s/standard_life_plc.html","Published on 27-Sep-2010",37
"Intellego Holdings PLC","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/i/intellego_holdings_plc.html","Published on 27-Sep-2010",40
"Tasty PLC","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/t/tasty_plc.html","Published on 27-Sep-2010",40
"Shieldtech Plc","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/s/shieldtech_plc.html","Published on 27-Sep-2010",39
"Cashbox PLC","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/c/cashbox_plc.html","Published on 27-Sep-2010",40
"Epistem Holdings Plc","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/e/epistem_holdings_plc.html","Published on 27-Sep-2010",40
"Mirland Development Corp Plc","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/m/mirland_development_corp_plc.html","Published on 27-Sep-2010",34
"Omega Diagnostics Group Plc","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/o/omega_diagnostics_group_plc.html","Published on 27-Sep-2010",40
"Weather Lottery Plc","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/w/weather_lottery_plc.html","Published on 27-Sep-2010",39
"Expansys Plc","Wright Investors' Service","Connecticut, United States","Companies","All",117,"http://www.reportbuyer.com/companies/company_name/e/expansys_plc.html","Published on 27-Sep-2010",40
