"GMX Resources Inc. (GMXR) - Oil &amp; Gas","GlobalData","Bolton, United Kingdom","Companies","All",250,"http://www.reportbuyer.com/companies/company_name/g/gmx_resources_inc_gmxr_oil_gas.html","Published on 10-Mar-2011",47
"Enbridge Energy Partners, L.P. (EEP) - Oil &amp; Gas","GlobalData","Bolton, United Kingdom","Companies","All",250,"http://www.reportbuyer.com/companies/company_name/e/enbridge_energy_partners_l_p_eep_oil_gas.html","Published on 10-Mar-2011",97
"Fairborne Energy Ltd. (FEL) - Oil &amp; Gas","GlobalData","Bolton, United Kingdom","Companies","All",250,"http://www.reportbuyer.com/companies/company_name/f/fairborne_energy_ltd_fel_oil_gas.html","Published on 10-Mar-2011",58
"Victory Energy Corporation - Oil &amp; Gas","GlobalData","Bolton, United Kingdom","Companies","All",250,"http://www.reportbuyer.com/companies/company_name/v/victory_energy_corporation_oil_gas_deals_alliances_profile.html","Published on 10-Mar-2011",30
"Sure Energy Inc. (SHR) - Oil &amp; Gas","GlobalData","Bolton, United Kingdom","Companies","All",250,"http://www.reportbuyer.com/companies/company_name/s/sure_energy_inc_shr_oil_gas.html","Published on 10-Mar-2011",43
"San Leon Energy Plc (SLE) - Oil &amp; Gas","GlobalData","Bolton, United Kingdom","Companies","All",250,"http://www.reportbuyer.com/companies/company_name/s/san_leon_energy_plc_sle_oil_gas.html","Published on 10-Mar-2011",39
"Cannabis Science, Inc. (CBISE) - Oil &amp; Gas","GlobalData","Bolton, United Kingdom","Companies","All",250,"http://www.reportbuyer.com/companies/company_name/c/cannabis_science_inc_cbise_oil_gas.html","Published on 10-Mar-2011",18
"Pioneer Southwest Energy Partners L.P. (PSE) - Oil &amp; Gas","GlobalData","Bolton, United Kingdom","Companies","All",250,"http://www.reportbuyer.com/companies/company_name/p/pioneer_southwest_energy_partners_l_p_pse_oil_gas.html","Published on 10-Mar-2011",21
"Todd Energy - Oil &amp; Gas","GlobalData","Bolton, United Kingdom","Companies","All",250,"http://www.reportbuyer.com/companies/company_name/t/todd_energy_oil_gas.html","Published on 10-Mar-2011",30
"Engen Petroleum Ltd - Oil &amp; Gas","GlobalData","Bolton, United Kingdom","Companies","All",250,"http://www.reportbuyer.com/companies/company_name/e/engen_petroleum_ltd_oil_gas.html","Published on 10-Mar-2011",17
"Green Dragon Gas Ltd. (GDG) - Oil &amp; Gas","GlobalData","Bolton, United Kingdom","Companies","All",250,"http://www.reportbuyer.com/companies/company_name/g/green_dragon_gas_ltd_gdg_oil_gas.html","Published on 10-Mar-2011",38
"American Resource Technologies, Inc. (ARUR) - Oil &amp; Gas","GlobalData","Bolton, United Kingdom","Companies","All",250,"http://www.reportbuyer.com/companies/company_name/a/american_resource_technologies_inc_arur_oil_gas.html","Published on 10-Mar-2011",18
"Enbridge Inc. (ENB) - Oil &amp; Gas","GlobalData","Bolton, United Kingdom","Companies","All",250,"http://www.reportbuyer.com/companies/company_name/e/enbridge_inc_enb_oil_gas.html","Published on 10-Mar-2011",148
"Maersk Olie og Gas AS - Oil &amp; Gas","GlobalData","Bolton, United Kingdom","Companies","All",250,"http://www.reportbuyer.com/companies/company_name/m/maersk_olie_og_gas_oil_gas_deals_alliances_profile.html","Published on 10-Mar-2011",59
"Weatherford International Ltd. (WFT) - Oil &amp; Gas","GlobalData","Bolton, United Kingdom","Companies","All",250,"http://www.reportbuyer.com/companies/company_name/w/weatherford_international_ltd_wft_oil_gas.html","Published on 10-Mar-2011",88
"Scomi Group Bhd (SCOMI) - Oil &amp; Gas","GlobalData","Bolton, United Kingdom","Companies","All",250,"http://www.reportbuyer.com/companies/company_name/s/scomi_group_bhd_scomi_oil_gas.html","Published on 10-Mar-2011",40
"Egyptian Natural Gas Holding Company - Oil &amp; Gas","GlobalData","Bolton, United Kingdom","Companies","All",250,"http://www.reportbuyer.com/companies/company_name/e/egyptian_natural_gas_holding_company_oil_gas_deals_alliances_profile.html","Published on 10-Mar-2011",20
"Det norske oljeselskap ASA (DETNOR) - Oil &amp; Gas","GlobalData","Bolton, United Kingdom","Companies","All",250,"http://www.reportbuyer.com/companies/company_name/d/det_norske_oljeselskap_asa_detnor_oil_gas.html","Published on 10-Mar-2011",117
"Dyas BV - Oil &amp; Gas","GlobalData","Bolton, United Kingdom","Companies","All",250,"http://www.reportbuyer.com/companies/company_name/d/dyas_bv_oil_gas_deals_alliances_profile.html","Published on 10-Mar-2011",42
"Empire Energy Corporation International (EEGC) - Oil &amp; Gas","GlobalData","Bolton, United Kingdom","Companies","All",250,"http://www.reportbuyer.com/companies/company_name/e/empire_energy_corporation_international_eegc_oil_gas.html","Published on 10-Mar-2011",31
