"Fortum Corporation","GlobalData","Bolton, United Kingdom","Companies","All",1001,"http://www.reportbuyer.com/companies/company_name/f/fortum_corporation_1.html","Published on 01-Jul-2011",87
"The Hub Power Company Limited","GlobalData","Bolton, United Kingdom","Companies","All",1001,"http://www.reportbuyer.com/companies/company_name/t/hub_power_company_limited.html","Published on 01-Jul-2011",24
"Entergy Corporation","GlobalData","Bolton, United Kingdom","Companies","All",1001,"http://www.reportbuyer.com/companies/company_name/e/entergy_corporation_2.html","Published on 01-Jul-2011",180
"The Kansai Electric Power Company Inc.","GlobalData","Bolton, United Kingdom","Companies","All",1001,"http://www.reportbuyer.com/companies/company_name/t/kansai_electric_power_company_inc_1.html","Published on 01-Jul-2011",54
"Consumers Energy Company","GlobalData","Bolton, United Kingdom","Companies","All",1001,"http://www.reportbuyer.com/companies/company_name/c/consumers_energy_company.html","Published on 01-Jul-2011",73
"Dynegy Inc.","GlobalData","Bolton, United Kingdom","Companies","All",1001,"http://www.reportbuyer.com/companies/company_name/d/dynegy_inc_2.html","Published on 01-Jul-2011",49
"Omaha Public Power District - Strategic SWOT Analysis Review","GlobalData","Bolton, United Kingdom","Companies","All",125,"http://www.reportbuyer.com/companies/company_name/o/omaha_public_power_district.html","Published on 06-Jun-2011",31
"Topsoe Fuel Cell","GlobalData","Bolton, United Kingdom","Companies","All",125,"http://www.reportbuyer.com/companies/company_name/t/topsoe_fuel_cell.html","Published on 16-Aug-2011",18
"Xcel Energy Inc.","GlobalData","Bolton, United Kingdom","Companies","All",1001,"http://www.reportbuyer.com/companies/company_name/x/xcel_energy_inc_2.html","Published on 01-Jul-2011",197
"Alpiq Holding AG","GlobalData","Bolton, United Kingdom","Companies","All",1001,"http://www.reportbuyer.com/companies/company_name/a/alpiq_holding_ag.html","Published on 01-Jul-2011",37
"BG Group plc","GlobalData","Bolton, United Kingdom","Companies","All",1001,"http://www.reportbuyer.com/companies/company_name/b/bg_group_plc_1.html","Published on 01-Jul-2011",175
"Southern Company","GlobalData","Bolton, United Kingdom","Companies","All",1001,"http://www.reportbuyer.com/companies/company_name/s/southern_company_1.html","Published on 01-Jul-2011",122
"FirstEnergy Corp.","GlobalData","Bolton, United Kingdom","Companies","All",1001,"http://www.reportbuyer.com/companies/company_name/f/firstenergy_corp_1.html","Published on 01-Jul-2011",116
"The AES Corporation","GlobalData","Bolton, United Kingdom","Companies","All",1001,"http://www.reportbuyer.com/companies/company_name/t/aes_corporation_1.html","Published on 01-Jul-2011",105
"PacifiCorp","GlobalData","Bolton, United Kingdom","Companies","All",125,"http://www.reportbuyer.com/companies/company_name/p/pacificorp.html","Published on 16-Aug-2011",34
"Duke Energy Corporation","GlobalData","Bolton, United Kingdom","Companies","All",1001,"http://www.reportbuyer.com/companies/company_name/d/duke_energy_corporation_2.html","Published on 01-Jul-2011",189
"EnBW Energie Baden-Wurttemberg AG","GlobalData","Bolton, United Kingdom","Companies","All",1001,"http://www.reportbuyer.com/companies/company_name/e/enbw_energie_baden_wurttemberg_ag_1.html","Published on 01-Jul-2011",88
"American Electric Power Company, Inc.","GlobalData","Bolton, United Kingdom","Companies","All",1001,"http://www.reportbuyer.com/companies/company_name/a/american_electric_power_company_inc_3.html","Published on 01-Jul-2011",157
