"Hyperparathyroidism Therapeutics","GlobalData","Bolton, United Kingdom","Pharma &amp; Healthcare","All",2003,"http://www.reportbuyer.com/pharma_healthcare/therapeutic/hyperparathyroidism_therapeutics.html","Published on 21-Sep-2011",61
"Malignant Mesothelioma Therapeutics","GlobalData","Bolton, United Kingdom","Pharma &amp; Healthcare","All",2003,"http://www.reportbuyer.com/pharma_healthcare/therapeutic/malignant_mesothelioma_therapeutics.html","Published on 31-Jul-2011",74
"Increasing Domestic Gas Consumption is Prompting China to Develop its Shale Gas Resources","GlobalData","Bolton, United Kingdom","Energy & Utilities","China",500,"http://www.reportbuyer.com/energy_utilities/oil_gas/increasing_domestic_gas_consumption_prompting_china_develop_its_shale_gas_resources.html","Published on 21-Sep-2011",7
"Higher Foreign Investments Would Boost Oil Production Capacity in Venezuela","GlobalData","Bolton, United Kingdom","Energy & Utilities","Venezuela",500,"http://www.reportbuyer.com/energy_utilities/oil_gas/higher_foreign_investments_boost_oil_production_capacity_venezuela.html","Published on 21-Sep-2011",8
"BP Plc, Company Intelligence Report","GlobalData","Bolton, United Kingdom","Energy & Utilities","All",1001,"http://www.reportbuyer.com/energy_utilities/oil_gas/bp_plc_company_intelligence_report.html","Published on 30-Aug-2011",133
"Shell, TOTAL and Eni Divest their 45% Stake in OML 30, 34, 40 and 42, While NNPC Takes Over the Operatorship of the OMLs from Shell","GlobalData","Bolton, United Kingdom","Energy & Utilities","All",500,"http://www.reportbuyer.com/energy_utilities/oil_gas/shell_total_eni_divest_45_stake_oml_30_34_40_42_nnpc_takes_operatorship_omls_shell.html","Published on 21-Sep-2011",9
"Secure Energy Services to Acquire Silverdale Processing Facility from Emerge Oil","GlobalData","Bolton, United Kingdom","Energy & Utilities","All",500,"http://www.reportbuyer.com/energy_utilities/oil_gas/secure_energy_services_acquire_silverdale_processing_facility_emerge_oil.html","Published on 21-Sep-2011",6
"Halliburton to Acquire Multi-Chem","GlobalData","Bolton, United Kingdom","Energy & Utilities","All",500,"http://www.reportbuyer.com/energy_utilities/oil_gas/halliburton_acquire_multi_chem.html","Published on 21-Sep-2011",6
"Equatorial Guinea Gas Markets, 2011","GlobalData","Bolton, United Kingdom","Energy & Utilities","Guinea",2496,"http://www.reportbuyer.com/energy_utilities/oil_gas/equatorial_guinea_gas_markets_2011.html","Published on 21-Sep-2011",84
"Egypt Gas Markets, 2011","GlobalData","Bolton, United Kingdom","Energy & Utilities","Egypt",2496,"http://www.reportbuyer.com/energy_utilities/oil_gas/egypt_gas_markets_2011.html","Published on 21-Sep-2011",96
"Angola Gas Markets, 2011","GlobalData","Bolton, United Kingdom","Energy & Utilities","Angola",2496,"http://www.reportbuyer.com/energy_utilities/oil_gas/angola_gas_markets_2011.html","Published on 21-Sep-2011",87
"Equatorial Guinea Oil Markets, 2011","GlobalData","Bolton, United Kingdom","Energy & Utilities","Guinea",2496,"http://www.reportbuyer.com/energy_utilities/oil_gas/equatorial_guinea_oil_markets_2011.html","Published on 21-Sep-2011",84
"Egypt Oil Markets, 2011","GlobalData","Bolton, United Kingdom","Energy & Utilities","Egypt",2496,"http://www.reportbuyer.com/energy_utilities/oil_gas/egypt_oil_markets_2011.html","Published on 21-Sep-2011",105
"Angola Oil Markets, 2011","GlobalData","Bolton, United Kingdom","Energy & Utilities","Angola",2496,"http://www.reportbuyer.com/energy_utilities/oil_gas/angola_oil_markets_2011.html","Published on 21-Sep-2011",98
"Eagle Ford Shale in the US, 2011","GlobalData","Bolton, United Kingdom","Energy & Utilities","United States",1502,"http://www.reportbuyer.com/energy_utilities/oil_gas/eagle_ford_shale_us_2011.html","Published on 01-Oct-2011",40
"International Oil Companies (IOCs) Focusing on Unconventional Sources","GlobalData","Bolton, United Kingdom","Energy & Utilities","All",3498,"http://www.reportbuyer.com/energy_utilities/oil_gas/international_oil_companies_iocs_focusing_unconventional_sources.html","Published on 21-Sep-2011",68
"Europe Dimethyl Terephthalate (DMT) Industry Outlook to 2015","GlobalData","Bolton, United Kingdom","Chemicals","All",3498,"http://www.reportbuyer.com/chemicals/petrochemicals/europe_dimethyl_terephthalate_dmt_industry_outlook_2015.html","Published on 21-Sep-2011",82
"North America Dimethyl Terephthalate (DMT) Industry Outlook to 2015","GlobalData","Bolton, United Kingdom","Chemicals","All",3498,"http://www.reportbuyer.com/chemicals/petrochemicals/north_america_dimethyl_terephthalate_dmt_industry_outlook_2015.html","Published on 21-Sep-2011",76
"Project Management &amp; Development Co Petrochemicals Capacity and Company Profile","GlobalData","Bolton, United Kingdom","Chemicals","All",500,"http://www.reportbuyer.com/chemicals/petrochemicals/project_management_development_co_petrochemicals_capacity_company_profile.html","Published on 21-Sep-2011",20
"Asia Pacific Dimethyl Terephthalate (DMT) Industry Outlook to 2015","GlobalData","Bolton, United Kingdom","Chemicals","All",3498,"http://www.reportbuyer.com/chemicals/petrochemicals/asia_pacific_dimethyl_terephthalate_dmt_industry_outlook_2015.html","Published on 21-Sep-2011",115
"Saudi International Petrochemical Company Petrochemicals Capacity and Company Profile","GlobalData","Bolton, United Kingdom","Chemicals","All",500,"http://www.reportbuyer.com/chemicals/petrochemicals/saudi_international_petrochemical_company_petrochemicals_capacity_company_profile.html","Published on 21-Sep-2011",44
"GS Caltex Corporation Petrochemicals Capacity and Company Profile","GlobalData","Bolton, United Kingdom","Chemicals","All",500,"http://www.reportbuyer.com/chemicals/petrochemicals/gs_caltex_corporation_petrochemicals_capacity_company_profile.html","Published on 21-Sep-2011",34
"Titan Chemicals Corp Berhad Petrochemicals Capacity and Company Profile","GlobalData","Bolton, United Kingdom","Chemicals","All",500,"http://www.reportbuyer.com/chemicals/petrochemicals/titan_chemicals_corp_berhad_petrochemicals_capacity_company_profile.html","Published on 21-Sep-2011",31
