"IntelliNews Bulgaria Country Report","Emerging Markets Direct","London, United Kingdom","Countries","Bulgaria",104,"http://www.reportbuyer.com/countries/europe/bulgaria/bulgaria_country_report_1.html","Published on 07-Sep-2011",7
"IntelliNews - Polish Pharmaceutical Report","Emerging Markets Direct","London, United Kingdom","Pharma &amp; Healthcare","All",258,"http://www.reportbuyer.com/pharma_healthcare/country_reports_pharmaceutical/polish_pharmaceutical_report_1.html","Published on 22-Jul-2011",17
"Attitudes towards Climate Change: Environmental Choices 1.a","Haddock Research","Nr Bodmin,, United Kingdom","Consumer Goods & Retail","All",937,"http://www.reportbuyer.com/consumer_goods_retail/demographics/attitudes_towards_climate_change_environmental_choices_1_a.html","Published on 11-Nov-2008",119
"Climate Change Influencers & Social Tipping Points: Environmental Choices section report 2.a","Haddock Research","Nr Bodmin,, United Kingdom","Energy & Utilities","All",937,"http://www.reportbuyer.com/energy_utilities/electricity/climate_change_influencers_social_tipping_points_environmental_choices_section_report_2_a.html","Published on 11-Nov-2008",88
"Climate Change & Power Generation","Haddock Research","Nr Bodmin,, United Kingdom","Energy & Utilities","All",936,"http://www.reportbuyer.com/energy_utilities/alternative_renewable/climate_change_power_generation.html","Published on 01-Jan-2009",129
"Green Energy Companies & Hydrogen Fuel Cells","Haddock Research","Nr Bodmin,, United Kingdom","Energy & Utilities","All",937,"http://www.reportbuyer.com/energy_utilities/alternative_renewable/green_energy_companies_hydrogen_fuel_cells.html","Published on 01-Jan-2009",128
"Climate Change & The Home","Haddock Research","Nr Bodmin,, United Kingdom","Energy & Utilities","All",937,"http://www.reportbuyer.com/energy_utilities/alternative_renewable/climate_change_home.html","Published on 02-Feb-2009",138
"Environmental Choices ﺃﺂﻗ°ﻼﺁﺂ study 2008 ","Haddock Research","Nr Bodmin,, United Kingdom","Consumer Goods & Retail","All",0,"http://www.reportbuyer.com/consumer_goods_retail/demographics/environmental_choices_study_2008.html","Published on 08-Dec-2008",50
"Flying and Telepresence - A quantitative examination of the potential of telepresence to be a low carbon alternative to flying","Haddock Research","Nr Bodmin,, United Kingdom","Telecoms","All",937,"http://www.reportbuyer.com/telecoms/misc_telecoms/flying_telepresence_quantitative_examination_potential_telepresence_low_carbon_alternative_flying.html","Published on 09-Apr-2009",197
"The Branding of Climate Change","Haddock Research","Nr Bodmin,, United Kingdom","Business &amp; Government","All",937,"http://www.reportbuyer.com/business_government/advertising_marketing/branding_climate_change_1.html","Published on 20-Apr-2009",112
"Environmentalﺃ∙ﺁ Choicesﺃﺂﻗ°ﻼﺁﺂﺃ∙ﺁ studyﺃ∙ﺁ 2008","Haddock Research","Nr Bodmin,, United Kingdom","Business &amp; Government","All",0,"http://www.reportbuyer.com/business_government/advertising_marketing/environmentalnchoicestnstudyn2008.html","Published on 27-Jul-2009",43
"Carbon offsets and business reputations","Haddock Research","Nr Bodmin,, United Kingdom","Business &amp; Government","All",937,"http://www.reportbuyer.com/business_government/advertising_marketing/carbon_offsets_business_reputations.html","Published on 31-Jul-2009",138
"Values, passions & incentives - in relation to climate change","Haddock Research","Nr Bodmin,, United Kingdom","Business &amp; Government","All",937,"http://www.reportbuyer.com/business_government/advertising_marketing/values_passions_incentives_relation_climate_change.html","Published on 22-Sep-2009",143
"Government Mandates for action on climate change: An international quantitative investigation into society's beliefs regarding 'green' policies","Haddock Research","Nr Bodmin,, United Kingdom","Business &amp; Government","All",994,"http://www.reportbuyer.com/business_government/misc_business_services/government_mandates_action_climate_change_international_quantitative_investigation_societys_beliefs_regarding_green_policies.html","Published on 02-Feb-2010",165
"2011 Trendology: U.S. Music Publishers","Trendology Research","Bath , United States","Leisure & Media","United States",297,"http://www.reportbuyer.com/leisure_media/music/2011_trendology_u_s_music_publishers.html","Published on 10-Oct-2010",47
"2011 Trendology: U.S. Offices of Dentists","Trendology Research","Bath , United States","Pharma &amp; Healthcare","United States",297,"http://www.reportbuyer.com/pharma_healthcare/dental/2011_trendology_u_s_offices_dentists.html","Published on 10-Oct-2010",125
"2009 Trendology: U.S. Aircraft Manufacturing","Trendology Research","Bath , United States","Transport & Travel","United States",399,"http://www.reportbuyer.com/transport_travel/air/2009_trendology_u_s_aircraft_manufacturing.html","Published on 11-Nov-2008",47
"2009 Trendology: U.S. Automobile & Motor Vehicle Manufacturing","Trendology Research","Bath , United States","Automotive","United States",399,"http://www.reportbuyer.com/automotive/manufacturing_automotive/2009_trendology_u_s_automobile_motor_vehicle_manufacturing.html","Published on 11-Nov-2008",43
"2009 Trendology: U.S. Bookstores","Trendology Research","Bath , United States","Leisure & Media","United States",399,"http://www.reportbuyer.com/leisure_media/publishing/books/2009_trendology_u_s_bookstores.html","Published on 11-Nov-2008",111
"2011 Trendology: U.S. Exam Preparation &amp; Tutoring","Trendology Research","Bath , United States","Business &amp; Government","United States",297,"http://www.reportbuyer.com/business_government/education/2009_trendology_u_s_exam_preparation_tutoring.html","Published on 10-Oct-2010",86
"2009 Trendology: U.S. Furniture Stores","Trendology Research","Bath , United States","Consumer Goods & Retail","United States",399,"http://www.reportbuyer.com/consumer_goods_retail/home_garden/furniture/2009_trendology_u_s_furniture_stores.html","Published on 11-Nov-2008",120
"2009 Trendology: U.S. Hotels & Motels","Trendology Research","Bath , United States","Leisure & Media","United States",399,"http://www.reportbuyer.com/leisure_media/tourism_travel/hotels/2009_trendology_u_s_hotels_motels.html","Published on 11-Nov-2008",121
"2009 Trendology: U.S. Household & Institutional Furniture Manufacturing","Trendology Research","Bath , United States","Consumer Goods & Retail","United States",399,"http://www.reportbuyer.com/consumer_goods_retail/home_garden/furniture/2009_trendology_u_s_household_institutional_furniture_manufacturing.html","Published on 11-Nov-2008",98
"2009 Trendology: U.S. Insurance Agencies & Brokerages","Trendology Research","Bath , United States","Banking & Finance","United States",399,"http://www.reportbuyer.com/banking_finance/insurance/2009_trendology_u_s_insurance_agencies_brokerages.html","Published on 11-Nov-2008",123
"2009 Trendology: U.S. Kitchen Cabinets & Countertops Manufacturing","Trendology Research","Bath , United States","Consumer Goods & Retail","United States",399,"http://www.reportbuyer.com/consumer_goods_retail/home_garden/bathroom_kitchen/2009_trendology_u_s_kitchen_cabinets_countertops_manufacturing.html","Published on 11-Nov-2008",97
