"Air Conditioning Systems","BizAcumen","San Jose, United States","Industry & Manufacturing","All",2997,"http://www.reportbuyer.com/industry_manufacturing/machinery/air_conditioning/air_conditioning_systems_1.html","Published on 11-Nov-2009",567
"Calcium Carbonate","BizAcumen","San Jose, United States","Chemicals","All",2997,"http://www.reportbuyer.com/chemicals/substances/calcium_carbonate.html","Published on 11-Nov-2009",135
"Alkylamines","BizAcumen","San Jose, United States","Chemicals","All",3451,"http://www.reportbuyer.com/chemicals/substances/alkylamines.html","Published on 11-Nov-2009",121
"Purified Terephthalic Acid","BizAcumen","San Jose, United States","Chemicals","All",2997,"http://www.reportbuyer.com/chemicals/specialty_chemicals/purified_terephthalic_acid_1.html","Published on 11-Nov-2009",212
"Electronic Chemicals","BizAcumen","San Jose, United States","Chemicals","All",2997,"http://www.reportbuyer.com/chemicals/specialty_chemicals/electronic_chemicals_1.html","Published on 11-Nov-2009",369
"Emulsifiers","BizAcumen","San Jose, United States","Chemicals","All",2997,"http://www.reportbuyer.com/chemicals/substances/emulsifiers.html","Published on 11-Nov-2009",405
"Acetic Acid","BizAcumen","San Jose, United States","Chemicals","All",2997,"http://www.reportbuyer.com/chemicals/specialty_chemicals/acetic_acid_2.html","Published on 11-Nov-2009",123
"AgroChemicals","BizAcumen","San Jose, United States","Chemicals","All",3451,"http://www.reportbuyer.com/chemicals/agricultural_chemicals/agrochemicals.html","Published on 11-Nov-2009",382
"Maleic Anhydride","BizAcumen","San Jose, United States","Chemicals","All",2997,"http://www.reportbuyer.com/chemicals/substances/maleic_anhydride.html","Published on 11-Nov-2009",232
"Polyvinyl Chloride (PVC)","BizAcumen","San Jose, United States","Chemicals","All",3451,"http://www.reportbuyer.com/industry_manufacturing/plastics/polymers/polyvinyl_chloride_pvc.html","Published on 11-Nov-2009",237
"Defoamers","BizAcumen","San Jose, United States","Chemicals","All",3451,"http://www.reportbuyer.com/chemicals/specialty_chemicals/defoamers_1.html","Published on 11-Nov-2009",216
"Acetaldehyde","BizAcumen","San Jose, United States","Chemicals","All",2997,"http://www.reportbuyer.com/chemicals/substances/acetaldehyde.html","Published on 11-Nov-2009",99
"Ethylene","BizAcumen","San Jose, United States","Chemicals","All",2997,"http://www.reportbuyer.com/chemicals/substances/ethylene.html","Published on 11-Nov-2009",222
"Diphenylmethane Diisocyanate (Mdi)","BizAcumen","San Jose, United States","Chemicals","All",2997,"http://www.reportbuyer.com/chemicals/substances/diphenylmethane_diisocyanate_mdi.html","Published on 11-Nov-2009",154
"Caprolactam","BizAcumen","San Jose, United States","Chemicals","All",2997,"http://www.reportbuyer.com/chemicals/substances/caprolactam.html","Published on 11-Nov-2009",164
"Glycerin","BizAcumen","San Jose, United States","Chemicals","All",2997,"http://www.reportbuyer.com/chemicals/substances/glycerin.html","Published on 11-Nov-2009",156
"Petroleum Refining Catalysts","BizAcumen","San Jose, United States","Chemicals","All",2997,"http://www.reportbuyer.com/chemicals/petrochemicals/petroleum_refining_catalysts.html","Published on 11-Nov-2009",173
"Dimethyl Terephthalate","BizAcumen","San Jose, United States","Chemicals","All",2997,"http://www.reportbuyer.com/chemicals/specialty_chemicals/dimethyl_terephthalate_2.html","Published on 11-Nov-2009",76
"Industrial Enzymes","BizAcumen","San Jose, United States","Chemicals","All",2997,"http://www.reportbuyer.com/chemicals/specialty_chemicals/industrial_enzymes_1.html","Published on 11-Nov-2009",238
"Flame Retardant Chemicals","BizAcumen","San Jose, United States","Chemicals","All",2997,"http://www.reportbuyer.com/chemicals/specialty_chemicals/flame_retardant_chemicals_2.html","Published on 11-Nov-2009",271
"Surface Active Agents","BizAcumen","San Jose, United States","Chemicals","All",2997,"http://www.reportbuyer.com/chemicals/specialty_chemicals/surface_active_agents_1.html","Published on 11-Nov-2009",257
"Coatings","BizAcumen","San Jose, United States","Chemicals","All",2997,"http://www.reportbuyer.com/chemicals/specialty_chemicals/coatings_1.html","Published on 11-Nov-2009",701
"Cubic Boron Nitride Abrasives","BizAcumen","San Jose, United States","Chemicals","All",2997,"http://www.reportbuyer.com/chemicals/specialty_chemicals/cubic_boron_nitride_abrasives_1.html","Published on 11-Nov-2009",97
