"Electricity Generation plant Construction in BRIC","World Market Intelligence","London, United Kingdom","Industry & Manufacturing","Brazil",75,"http://www.reportbuyer.com/industry_manufacturing/construction/electricity_generation_plant_construction_bric.html","Published on 09-Sep-2010",10
"Research Facility Construction in BRIC","World Market Intelligence","London, United Kingdom","Industry & Manufacturing","Brazil",75,"http://www.reportbuyer.com/industry_manufacturing/construction/research_facility_construction_bric.html","Published on 09-Sep-2010",10
"Religious Building Construction in BRIC","World Market Intelligence","London, United Kingdom","Industry & Manufacturing","Brazil",75,"http://www.reportbuyer.com/industry_manufacturing/construction/religious_building_construction_bric.html","Published on 09-Sep-2010",10
"Institutional Building Construction in BRIC","World Market Intelligence","London, United Kingdom","Industry & Manufacturing","Brazil",75,"http://www.reportbuyer.com/industry_manufacturing/construction/institutional_building_construction_bric.html","Published on 09-Sep-2010",10
"Healthcare Building Construction in BRIC","World Market Intelligence","London, United Kingdom","Industry & Manufacturing","Brazil",75,"http://www.reportbuyer.com/industry_manufacturing/construction/healthcare_building_construction_bric.html","Published on 09-Sep-2010",10
"Educational Building Construction in BRIC","World Market Intelligence","London, United Kingdom","Industry & Manufacturing","Brazil",75,"http://www.reportbuyer.com/industry_manufacturing/construction/educational_building_construction_bric.html","Published on 09-Sep-2010",10
"Water infrastructure Construction in BRIC","World Market Intelligence","London, United Kingdom","Energy & Utilities","Brazil",75,"http://www.reportbuyer.com/energy_utilities/water/water_infrastructure_construction_bric.html","Published on 09-Sep-2010",10
"Sewage infrastructure Construction in BRIC","World Market Intelligence","London, United Kingdom","Industry & Manufacturing","Brazil",75,"http://www.reportbuyer.com/industry_manufacturing/construction/sewage_infrastructure_construction_bric.html","Published on 09-Sep-2010",10
"Road infrastructure Construction in BRIC","World Market Intelligence","London, United Kingdom","Industry & Manufacturing","Brazil",75,"http://www.reportbuyer.com/industry_manufacturing/construction/road_infrastructure_construction_bric.html","Published on 09-Sep-2010",10
"Rail infrastructure Construction in BRIC","World Market Intelligence","London, United Kingdom","Industry & Manufacturing","Brazil",75,"http://www.reportbuyer.com/industry_manufacturing/construction/rail_infrastructure_construction_bric.html","Published on 09-Sep-2010",10
"Energy &amp; communications infrastructure Construction in BRIC","World Market Intelligence","London, United Kingdom","Industry & Manufacturing","Brazil",75,"http://www.reportbuyer.com/industry_manufacturing/construction/energy_communications_infrastructure_construction_bric.html","Published on 09-Sep-2010",10
"Waste processing plant Construction in BRIC","World Market Intelligence","London, United Kingdom","Industry & Manufacturing","Brazil",75,"http://www.reportbuyer.com/industry_manufacturing/construction/waste_processing_plant_construction_bric.html","Published on 09-Sep-2010",10
"Storage tank Construction in BRIC","World Market Intelligence","London, United Kingdom","Industry & Manufacturing","Brazil",75,"http://www.reportbuyer.com/industry_manufacturing/construction/storage_tank_construction_bric.html","Published on 09-Sep-2010",10
"Refinery Building Construction in BRIC","World Market Intelligence","London, United Kingdom","Industry & Manufacturing","Brazil",75,"http://www.reportbuyer.com/industry_manufacturing/construction/refinery_building_construction_bric.html","Published on 09-Sep-2010",10
"Metal &amp; material processing plant Construction in BRIC","World Market Intelligence","London, United Kingdom","Industry & Manufacturing","Brazil",75,"http://www.reportbuyer.com/industry_manufacturing/construction/metal_material_processing_plant_construction_bric.html","Published on 09-Sep-2010",10
"Manufacturing plant Construction in BRIC","World Market Intelligence","London, United Kingdom","Industry & Manufacturing","Brazil",75,"http://www.reportbuyer.com/industry_manufacturing/construction/manufacturing_plant_construction_bric.html","Published on 09-Sep-2010",10
"The Future of the Construction Materials Market in UK to 2015","World Market Intelligence","London, United Kingdom","Industry & Manufacturing","United Kingdom",1127,"http://www.reportbuyer.com/industry_manufacturing/construction/construction_materials/future_construction_materials_market_uk_2015.html","Published on 28-Oct-2010",75
"The Future of the Construction Materials Market in UAE to 2015","World Market Intelligence","London, United Kingdom","Industry & Manufacturing","All",1127,"http://www.reportbuyer.com/industry_manufacturing/construction/construction_materials/future_construction_materials_market_uae_2015.html","Published on 28-Oct-2010",42
"The Future of the Construction Materials Market in Turkey to 2015","World Market Intelligence","London, United Kingdom","Industry & Manufacturing","Turkey",1127,"http://www.reportbuyer.com/industry_manufacturing/construction/construction_materials/future_construction_materials_market_turkey_2015.html","Published on 28-Oct-2010",44
"The Future of the Construction Materials Market in Switzerland to 2015","World Market Intelligence","London, United Kingdom","Industry & Manufacturing","Switzerland",1127,"http://www.reportbuyer.com/industry_manufacturing/construction/construction_materials/future_construction_materials_market_switzerland_2015.html","Published on 28-Oct-2010",63
"The Future of the Construction Materials Market in Russia to 2015","World Market Intelligence","London, United Kingdom","Industry & Manufacturing","All",1127,"http://www.reportbuyer.com/industry_manufacturing/construction/construction_materials/future_construction_materials_market_russia_2015.html","Published on 28-Oct-2010",40
"The Future of the Construction Materials Market in Saudi Arabia to 2015","World Market Intelligence","London, United Kingdom","Industry & Manufacturing","Saudi Arabia",1127,"http://www.reportbuyer.com/industry_manufacturing/construction/construction_materials/future_construction_materials_market_saudi_arabia_2015.html","Published on 28-Oct-2010",59
"The Future of the Construction Materials Market in South Korea to 2015","World Market Intelligence","London, United Kingdom","Industry & Manufacturing","All",1127,"http://www.reportbuyer.com/industry_manufacturing/construction/construction_materials/future_construction_materials_market_south_korea_2015.html","Published on 28-Oct-2010",46
"The Future of the Construction Materials Market in Poland to 2015","World Market Intelligence","London, United Kingdom","Industry & Manufacturing","Poland",1127,"http://www.reportbuyer.com/industry_manufacturing/construction/construction_materials/future_construction_materials_market_poland_2015.html","Published on 28-Oct-2010",42
"The Future of the Construction Materials Market in Qatar to 2015","World Market Intelligence","London, United Kingdom","Industry & Manufacturing","Qatar",1127,"http://www.reportbuyer.com/industry_manufacturing/construction/construction_materials/future_construction_materials_market_qatar_2015.html","Published on 28-Oct-2010",41
"The Future of the Construction Materials Market in Philippines to 2015","World Market Intelligence","London, United Kingdom","Industry & Manufacturing","Philippines",1127,"http://www.reportbuyer.com/industry_manufacturing/construction/construction_materials/future_construction_materials_market_philippines_2015.html","Published on 28-Oct-2010",36
"The Future of the Construction Materials Market in Netherlands to 2015","World Market Intelligence","London, United Kingdom","Industry & Manufacturing","Netherlands",1127,"http://www.reportbuyer.com/industry_manufacturing/construction/construction_materials/future_construction_materials_market_netherlands_2015.html","Published on 28-Oct-2010",44
"The Future of the Construction Materials Market in Germany to 2015","World Market Intelligence","London, United Kingdom","Industry & Manufacturing","Germany",1127,"http://www.reportbuyer.com/industry_manufacturing/construction/construction_materials/future_construction_materials_market_germany_2015.html","Published on 28-Oct-2010",54
"The Future of the Construction Materials Market in Hungary to 2015","World Market Intelligence","London, United Kingdom","Industry & Manufacturing","Hungary",1127,"http://www.reportbuyer.com/industry_manufacturing/construction/construction_materials/future_construction_materials_market_hungary_2015.html","Published on 28-Oct-2010",27
