"Hyundai Motor Company","ICD-Research","London, United Kingdom","Companies","All",98,"http://www.reportbuyer.com/companies/company_name/h/hyundai_motor_company_3.html","Published on 07-Sep-2011",29
"Alcatel-Lucent","ICD-Research","London, United Kingdom","Companies","All",98,"http://www.reportbuyer.com/companies/company_name/a/alcatel_lucent_4.html","Published on 07-Sep-2011",34
"Allegis Group","ICD-Research","London, United Kingdom","Companies","All",98,"http://www.reportbuyer.com/companies/company_name/a/allegis_group.html","Published on 07-Sep-2011",15
"Altera Corporation","ICD-Research","London, United Kingdom","Companies","All",98,"http://www.reportbuyer.com/companies/company_name/a/altera_corporation_4.html","Published on 07-Sep-2011",38
"Sanofi-Aventis","ICD-Research","London, United Kingdom","Companies","All",98,"http://www.reportbuyer.com/companies/company_name/s/sanofi_aventis_3.html","Published on 07-Sep-2011",73
"Advanced Micro Devices, Inc.","ICD-Research","London, United Kingdom","Companies","All",98,"http://www.reportbuyer.com/companies/company_name/a/advanced_micro_devices_inc_3.html","Published on 07-Sep-2011",37
"Affiliated Computer Services, Inc.","ICD-Research","London, United Kingdom","Companies","All",98,"http://www.reportbuyer.com/companies/company_name/a/affiliated_computer_services_inc_3.html","Published on 07-Sep-2011",13
"Genentech, Inc.","ICD-Research","London, United Kingdom","Companies","All",98,"http://www.reportbuyer.com/companies/company_name/g/genentech_inc_3.html","Published on 07-Sep-2011",59
"Agrium Inc.","ICD-Research","London, United Kingdom","Companies","All",98,"http://www.reportbuyer.com/companies/company_name/a/agrium_inc_1.html","Published on 07-Sep-2011",36
"American Honda Motor Co., Inc.","ICD-Research","London, United Kingdom","Companies","All",98,"http://www.reportbuyer.com/companies/company_name/a/american_honda_motor_co_inc_2.html","Published on 07-Sep-2011",15
"Adobe Systems Incorporated","ICD-Research","London, United Kingdom","Companies","All",98,"http://www.reportbuyer.com/companies/company_name/a/adobe_systems_incorporated_4.html","Published on 07-Sep-2011",36
"Advanced Analog Technology, Inc.","ICD-Research","London, United Kingdom","Companies","All",98,"http://www.reportbuyer.com/companies/company_name/a/advanced_analog_technology_inc_2.html","Published on 07-Sep-2011",30
"Gammon India Limited","ICD-Research","London, United Kingdom","Companies","India",98,"http://www.reportbuyer.com/companies/company_name/g/gammon_india_limited_1.html","Published on 07-Sep-2011",39
"Hansgrohe AG","ICD-Research","London, United Kingdom","Companies","All",98,"http://www.reportbuyer.com/companies/company_name/h/hansgrohe_ag.html","Published on 07-Sep-2011",14
"Hitachi Construction Machinery Co. Ltd.","ICD-Research","London, United Kingdom","Companies","All",98,"http://www.reportbuyer.com/companies/company_name/h/hitachi_construction_machinery_co_ltd_1.html","Published on 07-Sep-2011",38
"J.W. Construction Holding S.A.","ICD-Research","London, United Kingdom","Companies","All",98,"http://www.reportbuyer.com/companies/company_name/j/j_w_construction_holding_s_a_1.html","Published on 07-Sep-2011",33
"Jan De Nul Group","ICD-Research","London, United Kingdom","Companies","All",98,"http://www.reportbuyer.com/companies/company_name/j/jan_de_nul_group_1.html","Published on 07-Sep-2011",16
"JM AB","ICD-Research","London, United Kingdom","Companies","All",98,"http://www.reportbuyer.com/companies/company_name/j/jm_ab_2.html","Published on 07-Sep-2011",35
"Kaefer Isoliertechnik GmbH &amp; Co KG","ICD-Research","London, United Kingdom","Companies","All",98,"http://www.reportbuyer.com/companies/company_name/k/kaefer_isoliertechnik_gmbh_co_kg_1.html","Published on 07-Sep-2011",15
"AB Volvo","ICD-Research","London, United Kingdom","Companies","All",98,"http://www.reportbuyer.com/companies/company_name/a/ab_volvo_2.html","Published on 07-Sep-2011",41
"Abertis Infraestructuras, S.A.","ICD-Research","London, United Kingdom","Companies","All",98,"http://www.reportbuyer.com/companies/company_name/a/abertis_infraestructuras_s_a_2.html","Published on 07-Sep-2011",23
"Arup Group Limited","ICD-Research","London, United Kingdom","Companies","All",98,"http://www.reportbuyer.com/companies/company_name/a/arup_group_limited_2.html","Published on 07-Sep-2011",15
"Autoroutes du Sud de la France","ICD-Research","London, United Kingdom","Companies","France",98,"http://www.reportbuyer.com/companies/company_name/a/autoroutes_du_sud_de_la_france_4.html","Published on 07-Sep-2011",12
"Demag Cranes AG","ICD-Research","London, United Kingdom","Companies","All",98,"http://www.reportbuyer.com/companies/company_name/d/demag_cranes_ag_2.html","Published on 07-Sep-2011",36
"DORMA Holding GmbH + Co. KGaA","ICD-Research","London, United Kingdom","Companies","All",98,"http://www.reportbuyer.com/companies/company_name/d/dorma_holding_gmbh_co_kgaa.html","Published on 07-Sep-2011",13
"Duravit AG","ICD-Research","London, United Kingdom","Companies","All",98,"http://www.reportbuyer.com/companies/company_name/d/duravit_ag.html","Published on 07-Sep-2011",15
"Eaton Corporation","ICD-Research","London, United Kingdom","Companies","All",98,"http://www.reportbuyer.com/companies/company_name/e/eaton_corporation.html","Published on 07-Sep-2011",42
"Ferrovial S.A.","ICD-Research","London, United Kingdom","Companies","All",98,"http://www.reportbuyer.com/companies/company_name/f/ferrovial_s_a_2.html","Published on 07-Sep-2011",37
"Bonduelle SCA","ICD-Research","London, United Kingdom","Companies","All",98,"http://www.reportbuyer.com/companies/company_name/b/bonduelle_sca.html","Published on 07-Sep-2011",32
"Bongrain SA","ICD-Research","London, United Kingdom","Companies","All",98,"http://www.reportbuyer.com/companies/company_name/b/bongrain_sa_2.html","Published on 07-Sep-2011",28
"Bridgford Foods Corporation","ICD-Research","London, United Kingdom","Companies","All",98,"http://www.reportbuyer.com/companies/company_name/b/bridgford_foods_corporation_2.html","Published on 07-Sep-2011",29
"Veolia Environnement","ICD-Research","London, United Kingdom","Companies","All",98,"http://www.reportbuyer.com/companies/company_name/v/veolia_environnement_5.html","Published on 07-Sep-2011",46
"Verint Systems Inc.","ICD-Research","London, United Kingdom","Companies","All",98,"http://www.reportbuyer.com/companies/company_name/v/verint_systems_inc_1.html","Published on 07-Sep-2011",34
"Verizon Communications Inc.","ICD-Research","London, United Kingdom","Companies","All",98,"http://www.reportbuyer.com/companies/company_name/v/verizon_communications_inc_3.html","Published on 07-Sep-2011",41
"ViroPharma Incorporated","ICD-Research","London, United Kingdom","Companies","All",98,"http://www.reportbuyer.com/companies/company_name/v/viropharma_incorporated_3.html","Published on 07-Sep-2011",34
"Weight Watchers International, Inc.","ICD-Research","London, United Kingdom","Companies","All",98,"http://www.reportbuyer.com/companies/company_name/w/weight_watchers_international_inc_2.html","Published on 07-Sep-2011",36
"ANSALDO STS SpA","ICD-Research","London, United Kingdom","Companies","All",98,"http://www.reportbuyer.com/companies/company_name/a/ansaldo_sts_spa_1.html","Published on 07-Sep-2011",32
"Aqua Terrena International AB","ICD-Research","London, United Kingdom","Companies","All",98,"http://www.reportbuyer.com/companies/company_name/a/aqua_terrena_international_ab_2.html","Published on 07-Sep-2011",24
"Arla Foods amba","ICD-Research","London, United Kingdom","Companies","All",98,"http://www.reportbuyer.com/companies/company_name/a/arla_foods_amba_2.html","Published on 07-Sep-2011",20
"Armanino Foods Of Distinction Inc.","ICD-Research","London, United Kingdom","Companies","All",98,"http://www.reportbuyer.com/companies/company_name/a/armanino_foods_distinction_inc.html","Published on 07-Sep-2011",29
"ARYZTA AG","ICD-Research","London, United Kingdom","Companies","All",98,"http://www.reportbuyer.com/companies/company_name/a/aryzta_ag_2.html","Published on 07-Sep-2011",31
"Atria Group Plc","ICD-Research","London, United Kingdom","Companies","All",98,"http://www.reportbuyer.com/companies/company_name/a/atria_group_plc.html","Published on 07-Sep-2011",29
"Austevoll Seafood ASA","ICD-Research","London, United Kingdom","Companies","All",98,"http://www.reportbuyer.com/companies/company_name/a/austevoll_seafood_asa_2.html","Published on 07-Sep-2011",33
"Australian Agricultural Company Limited","ICD-Research","London, United Kingdom","Companies","All",98,"http://www.reportbuyer.com/companies/company_name/a/australian_agricultural_company_limited_2.html","Published on 07-Sep-2011",34
"Bakkavor Group hf.","ICD-Research","London, United Kingdom","Companies","All",98,"http://www.reportbuyer.com/companies/company_name/b/bakkavor_group_hf.html","Published on 07-Sep-2011",28
"Barkan Wine Cellars Ltd","ICD-Research","London, United Kingdom","Companies","All",98,"http://www.reportbuyer.com/companies/company_name/b/barkan_wine_cellars_ltd_1.html","Published on 07-Sep-2011",24
"Barry Callebaut AG","ICD-Research","London, United Kingdom","Companies","All",98,"http://www.reportbuyer.com/companies/company_name/b/barry_callebaut_ag_2.html","Published on 07-Sep-2011",31
"Beijing Enterprises Holdings Limited","ICD-Research","London, United Kingdom","Companies","All",98,"http://www.reportbuyer.com/companies/company_name/b/beijing_enterprises_holdings_limited.html","Published on 07-Sep-2011",33
"Bell Holding AG","ICD-Research","London, United Kingdom","Companies","All",98,"http://www.reportbuyer.com/companies/company_name/b/bell_holding_ag_1.html","Published on 07-Sep-2011",32
"Binggrae Co., Ltd.","ICD-Research","London, United Kingdom","Companies","All",98,"http://www.reportbuyer.com/companies/company_name/b/binggrae_co_ltd.html","Published on 07-Sep-2011",28
"Toyo Engineering Corporation","ICD-Research","London, United Kingdom","Companies","All",98,"http://www.reportbuyer.com/companies/company_name/t/toyo_engineering_corporation_2.html","Published on 07-Sep-2011",31
"TranSystems Corporation","ICD-Research","London, United Kingdom","Companies","All",98,"http://www.reportbuyer.com/companies/company_name/t/transystems_corporation_1.html","Published on 07-Sep-2011",19
"TriGranit Development Corporation","ICD-Research","London, United Kingdom","Companies","All",98,"http://www.reportbuyer.com/companies/company_name/t/trigranit_development_corporation_1.html","Published on 07-Sep-2011",14
"Vaillant Group","ICD-Research","London, United Kingdom","Companies","All",98,"http://www.reportbuyer.com/companies/company_name/v/vaillant_group_1.html","Published on 07-Sep-2011",16
"ZipRealty, Inc.","ICD-Research","London, United Kingdom","Companies","All",98,"http://www.reportbuyer.com/companies/company_name/z/ziprealty_inc_2.html","Published on 07-Sep-2011",23
"Adris grupa d.d.","ICD-Research","London, United Kingdom","Companies","All",98,"http://www.reportbuyer.com/companies/company_name/a/adris_grupa_d_d.html","Published on 07-Sep-2011",34
"Almarai Company","ICD-Research","London, United Kingdom","Companies","All",98,"http://www.reportbuyer.com/companies/company_name/a/almarai_company.html","Published on 07-Sep-2011",35
"Altadis U.S.A., Inc.","ICD-Research","London, United Kingdom","Companies","United States",98,"http://www.reportbuyer.com/companies/company_name/a/altadis_u_s_a_inc.html","Published on 07-Sep-2011",12
"Amorepacific Corporation","ICD-Research","London, United Kingdom","Companies","All",98,"http://www.reportbuyer.com/companies/company_name/a/amorepacific_corporation.html","Published on 07-Sep-2011",32
"Anadolu Efes Biracilik ve Malt Sanayii A.S.","ICD-Research","London, United Kingdom","Companies","All",98,"http://www.reportbuyer.com/companies/company_name/a/anadolu_efes_biracilik_ve_malt_sanayii_a_s.html","Published on 07-Sep-2011",38
"Aohata Corporation","ICD-Research","London, United Kingdom","Companies","All",98,"http://www.reportbuyer.com/companies/company_name/a/aohata_corporation_1.html","Published on 07-Sep-2011",25
"Sto AG","ICD-Research","London, United Kingdom","Companies","All",98,"http://www.reportbuyer.com/companies/company_name/s/sto_ag_1.html","Published on 07-Sep-2011",30
"Suffolk Construction Company, Inc.","ICD-Research","London, United Kingdom","Companies","All",98,"http://www.reportbuyer.com/companies/company_name/s/suffolk_construction_company_inc_1.html","Published on 07-Sep-2011",14
"SYSTRA Group","ICD-Research","London, United Kingdom","Companies","All",98,"http://www.reportbuyer.com/companies/company_name/s/systra_group_1.html","Published on 07-Sep-2011",14
"Tadano Ltd.","ICD-Research","London, United Kingdom","Companies","All",98,"http://www.reportbuyer.com/companies/company_name/t/tadano_ltd_2.html","Published on 07-Sep-2011",31
"Takeuchi Mfg. Co., Ltd.","ICD-Research","London, United Kingdom","Companies","All",98,"http://www.reportbuyer.com/companies/company_name/t/takeuchi_mfg_co_ltd_2.html","Published on 07-Sep-2011",28
"Tarkett SA","ICD-Research","London, United Kingdom","Companies","All",98,"http://www.reportbuyer.com/companies/company_name/t/tarkett_sa.html","Published on 07-Sep-2011",13
"The Churchill Corporation","ICD-Research","London, United Kingdom","Companies","All",98,"http://www.reportbuyer.com/companies/company_name/t/churchill_corporation_1.html","Published on 07-Sep-2011",35
"The Public Joint-Stock Company (OAO) Stroytransgaz","ICD-Research","London, United Kingdom","Companies","All",98,"http://www.reportbuyer.com/companies/company_name/t/public_joint_stock_company_oao_stroytransgaz.html","Published on 07-Sep-2011",11
"Toda Corporation","ICD-Research","London, United Kingdom","Companies","All",98,"http://www.reportbuyer.com/companies/company_name/t/toda_corporation_2.html","Published on 07-Sep-2011",37
"Town Centre Securities Plc","ICD-Research","London, United Kingdom","Companies","All",98,"http://www.reportbuyer.com/companies/company_name/t/town_centre_securities_plc_2.html","Published on 07-Sep-2011",28
