"Fortescue Metals Group Limited","Business Review","London, United Kingdom","Companies","All",98,"http://www.reportbuyer.com/companies/company_name/f/fortescue_metals_group_limited_1.html","Published on 11-Nov-2010",21
"KGHM Polska Miedz S.A.","Business Review","London, United Kingdom","Companies","All",98,"http://www.reportbuyer.com/companies/company_name/k/kghm_polska_miedz_s_a_1.html","Published on 11-Nov-2010",21
"Hecla Mining Company","Business Review","London, United Kingdom","Companies","All",98,"http://www.reportbuyer.com/companies/company_name/h/hecla_mining_company_1.html","Published on 11-Nov-2010",24
"Grupo Mexico S.A.B. de C.V.","Business Review","London, United Kingdom","Companies","Mexico",98,"http://www.reportbuyer.com/companies/company_name/g/grupo_mexico_s_a_b_de_c_v_1.html","Published on 09-Sep-2010",24
"China Shenhua Energy Company Limited","Business Review","London, United Kingdom","Companies","China",98,"http://www.reportbuyer.com/companies/company_name/c/china_shenhua_energy_company_limited_2.html","Published on 10-Oct-2010",22
"Cameco Corporation","Business Review","London, United Kingdom","Companies","All",98,"http://www.reportbuyer.com/companies/company_name/c/cameco_corporation_1.html","Published on 11-Nov-2010",24
"Anvil Mining Limited","Business Review","London, United Kingdom","Companies","All",98,"http://www.reportbuyer.com/companies/company_name/a/anvil_mining_limited.html","Published on 12-Dec-2010",23
"Banpu Public Company Limited","Business Review","London, United Kingdom","Companies","All",98,"http://www.reportbuyer.com/companies/company_name/b/banpu_public_company_limited_1.html","Published on 11-Nov-2010",24
"Hutchinson SA","Business Review","London, United Kingdom","Companies","All",98,"http://www.reportbuyer.com/companies/company_name/h/hutchinson_sa.html","Published on 12-Dec-2010",16
"MGM Resorts International","Business Review","London, United Kingdom","Companies","All",98,"http://www.reportbuyer.com/companies/company_name/m/mgm_resorts_international_1.html","Published on 09-Sep-2010",25
"Santander UK plc","Business Review","London, United Kingdom","Companies","United Kingdom",98,"http://www.reportbuyer.com/companies/company_name/s/santander_uk_plc_1.html","Published on 11-Nov-2010",17
"Beazley plc","Business Review","London, United Kingdom","Companies","All",98,"http://www.reportbuyer.com/companies/company_name/b/beazley_plc_1.html","Published on 06-Jun-2010",25
"Bulstrad Vienna Insurance Group","Business Review","London, United Kingdom","Companies","All",98,"http://www.reportbuyer.com/companies/company_name/b/bulstrad_vienna_insurance_group_1.html","Published on 12-Dec-2010",21
"Perpetual Energy Inc.","Business Review","London, United Kingdom","Companies","All",98,"http://www.reportbuyer.com/companies/company_name/p/perpetual_energy_inc.html","Published on 11-Nov-2010",21
"YTL Corporation Berhad","Business Review","London, United Kingdom","Companies","All",98,"http://www.reportbuyer.com/companies/company_name/y/ytl_corporation_berhad_1.html","Published on 05-May-2010",24
"Gas Natural Fenosa","Business Review","London, United Kingdom","Companies","All",98,"http://www.reportbuyer.com/companies/company_name/g/gas_natural_fenosa.html","Published on 10-Oct-2010",25
"WSI Industries, Inc.","Business Review","London, United Kingdom","Companies","All",98,"http://www.reportbuyer.com/companies/company_name/w/wsi_industries_inc_1.html","Published on 04-Apr-2010",22
"Zodiac Aerospace","Business Review","London, United Kingdom","Companies","All",98,"http://www.reportbuyer.com/companies/company_name/z/zodiac_aerospace.html","Published on 12-Dec-2010",22
"FJ Management Inc.","Business Review","London, United Kingdom","Companies","All",98,"http://www.reportbuyer.com/companies/company_name/f/fj_management_inc.html","Published on 10-Oct-2010",13
"Vector Aerospace Corporation","Business Review","London, United Kingdom","Companies","All",98,"http://www.reportbuyer.com/companies/company_name/v/vector_aerospace_corporation_1.html","Published on 12-Dec-2010",24
"Westminster Group plc","Business Review","London, United Kingdom","Companies","All",98,"http://www.reportbuyer.com/companies/company_name/w/westminster_group_plc_1.html","Published on 10-Oct-2010",24
